"ENSEMBL","SYMBOL","sexBias","KDM5C_binding","Promo_CGI","seqnames","start","end","gene_name","TSS","pvalue","qvalue","meth.diff"
"ENSMUSG00000020867","Spata20","XY","Unbound","CGI","chr11",94485680,94486679,"Spata20",94486179,0.126912054666554,0.238265785970878,-4.50036075036075
"ENSMUSG00000020878","Lrrc46","XY","Unbound","no","chr11",97040908,97041907,"Lrrc46",97041407,0.357416845321501,0.439693025026026,-2.84365516466225
"ENSMUSG00000020930","Ccdc103","XY","Unbound","no","chr11",102880705,102881704,"Ccdc103",102881204,0.163972005718254,0.282330651808724,1.14962498200609
"ENSMUSG00000020945","Lyzl6","XY","Unbound","no","chr11",103638391,103639390,"Lyzl6",103638890,0.582508151233125,0.57267686834845,2.37000547345375
"ENSMUSG00000021007","Spata7","XY","Unbound","CGI","chr12",98627658,98628657,"Spata7",98628157,0.370149281492989,0.450806703852719,1.66742795182986
"ENSMUSG00000021056","Tex21","XY","Unbound","no","chr12",76246247,76247246,"Tex21",76246746,0.451758901157254,0.511345952150018,-2.07373271889402
"ENSMUSG00000021076","Actr10","unbiased","Unbound","CGI","chr12",70937358,70938357,"Actr10",70937857,0.0560498894237969,0.135890309203378,1.92653155228006
"ENSMUSG00000021078","Tomm20l","XY","Unbound","CGI","chr12",71110929,71111928,"Tomm20l",71111428,0.469009488692964,0.517574752314873,2.43443282381335
"ENSMUSG00000021090","Lrrc9","XY","Unbound","no","chr12",72441367,72442366,"Lrrc9",72441866,0.000148210150241266,0.000982758901520997,-8.58374823934682
"ENSMUSG00000021097","Clmn","unbiased","Unbound","no","chr12",104864577,104865576,"Clmn",104865076,0.160761016863756,0.279306204986713,4.74186416353128
"ENSMUSG00000021189","Atxn3","XY","Bound","CGI","chr12",101957747,101958746,"Atxn3",101958246,0.0952276680023336,0.194395327737992,-2.6639075022993
"ENSMUSG00000021203","Otub2","XY","Unbound","CGI","chr12",103388183,103389182,"Otub2",103388682,0.65574196847238,0.60903275119358,0.711635186078329
"ENSMUSG00000021257","Angel1","XY","Unbound","CGI","chr12",86725961,86726960,"Angel1",86726460,0.656618369782947,0.60903275119358,0.96853257432005
"ENSMUSG00000021258","Ccnk","XY","Unbound","CGI","chr12",108179080,108180079,"Ccnk",108179579,0.66220899800329,0.611876738130051,0.4531014009687
"ENSMUSG00000021337","Scgn","XY","Unbound","no","chr13",23990715,23991714,"Scgn",23991214,0.662405489564848,0.611876738130051,-1.1322173070807
"ENSMUSG00000021363","Mak","XY","Unbound","CGI","chr13",41079207,41080206,"Mak",41079706,0.734259810558095,0.640459057667949,0.754695728084256
"ENSMUSG00000021415","4933417A18Rik","XY","Unbound","no","chr13",34923910,34924909,"4933417A18Rik",34924409,0.829364817933634,0.678996687964915,0.515245623941274
"ENSMUSG00000021499","Catsper3","XY","Unbound","no","chr13",55784069,55785068,"Catsper3",55784568,0.202028855757005,0.31639326072904,-2.35858316740051
"ENSMUSG00000021534","1700001L19Rik","XY","Unbound","no","chr13",68596922,68597921,"1700001L19Rik",68597421,0.798609363785776,0.669649705231794,1.31414267834793
"ENSMUSG00000021572","Cep72","XY","Unbound","CGI","chr13",74061800,74062799,"Cep72",74062299,0.723947808209719,0.636141576743866,-0.483737076447061
"ENSMUSG00000021590","Spata9","XY","Unbound","no","chr13",75966651,75967650,"Spata9",75967150,0.00542116074621015,0.0228416612309249,31.5824468085106
"ENSMUSG00000021758","Ddx4","unbiased","Bound","CGI","chr13",112651976,112652975,"Ddx4",112652475,2.99423715912061e-07,3.68350068378793e-06,-21.7490259137856
"ENSMUSG00000021790","Dydc1","XY","Unbound","CGI","chr14",41072412,41073411,"Dydc1",41072911,0.0573049961397516,0.138085765976659,-8.43667443667444
"ENSMUSG00000021791","Dydc2","XY","Unbound","no","chr14",41068709,41069708,"Dydc2",41069208,0.656307313304843,0.60903275119358,4.07239819004526
"ENSMUSG00000021838","Samd4","XY","Bound","CGI","chr14",46882355,46883354,"Samd4",46882854,0.134458783604193,0.248649575908945,2.7657171096756
"ENSMUSG00000021902","Phf7","XY","Unbound","no","chr14",31250818,31251817,"Phf7",31251317,0.142111884458125,0.260014549120246,-1.17137764196588
"ENSMUSG00000021918","Nek4","unbiased","Bound","CGI","chr14",30950878,30951877,"Nek4",30951377,0.00542366065831101,0.0228416612309249,-3.18514886079977
"ENSMUSG00000021940","Ptpn20","XY","Bound","no","chr14",33588708,33589707,"Ptpn20",33589207,0.00207895846280432,0.0105637019827168,-11.4066706209791
"ENSMUSG00000021953","Tdh","unbiased","Bound","CGI","chr14",63508593,63509592,"Tdh",63509092,0.00414096119183726,0.0182622149760081,-8.17883537206932
"ENSMUSG00000021961","4930578I06Rik","XY","Unbound","no","chr14",63987291,63988290,"4930578I06Rik",63987790,0.329964190948288,0.424875134895735,-2.36513420143503
"ENSMUSG00000021966","Prss52","XY","Unbound","no","chr14",64103787,64104786,"Prss52",64104286,0.328307315316274,0.423993489789282,4.17251051893408
"ENSMUSG00000021977","1700129C05Rik","XY","Unbound","no","chr14",59142394,59143393,"1700129C05Rik",59142893,0.22709222870498,0.336510610800959,3.19960004999374
"ENSMUSG00000021997","Lrrc63","XY","Unbound","no","chr14",75130382,75131381,"Lrrc63",75130881,0.312564890349878,0.411016014587291,-2.11799182996862
"ENSMUSG00000022039","Adam2","XY","Unbound","no","chr14",66077234,66078233,"Adam2",66077733,0.563762305863308,0.563129576002632,2.04768928220256
"ENSMUSG00000022085","Pebp4","XY","Unbound","no","chr14",69839921,69840920,"Pebp4",69840420,0.089980895972757,0.186346566850304,-4.95332444275101
"ENSMUSG00000022113","Trim52","XY","Bound","CGI","chr14",106105699,106106698,"Trim52",106106198,0.00376677173593161,0.0170958317092199,-4.20439560439561
"ENSMUSG00000022236","Ropn1l","XY","Unbound","CGI","chr15",31453238,31454237,"Ropn1l",31453737,0.534815312188651,0.552720152708514,-0.895605463696793
"ENSMUSG00000022245","Skor1","XY","Unbound","CGI","chr9",63148462,63149461,"Skor1",63148961,0.0787831029832308,0.169451862174168,2.09019607843137
"ENSMUSG00000022249","Ttc23l","XY","Unbound","no","chr15",10558169,10559168,"Ttc23l",10558668,0.298396743858496,0.400266692919763,2.25436163864219
"ENSMUSG00000022375","Lrrc6","XY","Unbound","no","chr15",66500411,66501410,"Lrrc6",66500910,0.634613376891605,0.598872796538758,2.24572587655752
"ENSMUSG00000022388","Ttll8","XY","Unbound","CGI","chr15",88953919,88954918,"Ttll8",88954418,0.0163105533922703,0.0515187285690875,6.71593908137817
"ENSMUSG00000022429","Dmc1","unbiased","Bound","CGI","chr15",79604610,79605609,"Dmc1",79605109,2.64429865814157e-12,7.72589279664092e-11,-10.5869509375803
"ENSMUSG00000022431","Ribc2","XY","Unbound","no","chr15",85131579,85132578,"Ribc2",85132078,2.8797482174748e-06,2.86427568245721e-05,-12.1337550761526
"ENSMUSG00000022432","Smc1b","unbiased","Bound","CGI","chr15",85131465,85132464,"Smc1b",85131964,1.15615315425444e-06,1.22834637233461e-05,-12.3145245559039
"ENSMUSG00000022441","Efcab6","XY","Unbound","no","chr15",84064880,84065879,"Efcab6",84065379,0.216383517397917,0.328955545213949,-4.26961579839901
"ENSMUSG00000022455","Wbp2nl","XY","Bound","no","chr15",82298455,82299454,"Wbp2nl",82298954,0.79824122740297,0.669649705231794,-0.980954953738095
"ENSMUSG00000022487","Gtsf1","XY","Unbound","no","chr15",103429971,103430970,"Gtsf1",103430470,0.352311319299366,0.435705410111023,1.66445623342175
"ENSMUSG00000022501","Prm1","XY","Unbound","no","chr16",10805340,10806339,"Prm1",10805839,0.00528220971125985,0.0224481786443624,-5.35230352303523
"ENSMUSG00000022620","Arsa","XY","Unbound","no","chr15",89476926,89477925,"Arsa",89477425,0.000102970186350583,0.000701984787773654,18.8854356446254
"ENSMUSG00000022622","Acr","XY","Unbound","no","chr15",89567827,89568826,"Acr",89568326,0.466782891548882,0.516471513259992,1.95456325891108
