"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Shared","GO:0034655","nucleobase-containing compound catabolic process","24/486","399/22893",5.41888028777293e-06,0.00184340454880421,0.00174493130797664,"ENSMUSG00000053333/ENSMUSG00000057113/ENSMUSG00000037331/ENSMUSG00000020515/ENSMUSG00000020736/ENSMUSG00000035139/ENSMUSG00000034575/ENSMUSG00000042275/ENSMUSG00000045211/ENSMUSG00000008393/ENSMUSG00000062078/ENSMUSG00000059208/ENSMUSG00000024906/ENSMUSG00000026728/ENSMUSG00000027203/ENSMUSG00000033068/ENSMUSG00000033882/ENSMUSG00000034610/ENSMUSG00000028675/ENSMUSG00000029310/ENSMUSG00000029780/ENSMUSG00000032047/ENSMUSG00000032396/ENSMUSG00000032565",24
"Shared","GO:0046073","dTMP metabolic process","5/486","14/22893",7.21826141947593e-06,0.00225089451930658,0.00213065348039794,"ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000027203/ENSMUSG00000029780",5
"Shared","GO:0009117","nucleotide metabolic process","25/486","444/22893",1.08533163315305e-05,0.002967917612591,0.00280937375632752,"ENSMUSG00000026192/ENSMUSG00000071359/ENSMUSG00000041798/ENSMUSG00000020534/ENSMUSG00000018500/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000020638/ENSMUSG00000020572/ENSMUSG00000021226/ENSMUSG00000043487/ENSMUSG00000021786/ENSMUSG00000045211/ENSMUSG00000062683/ENSMUSG00000005580/ENSMUSG00000025781/ENSMUSG00000027203/ENSMUSG00000016252/ENSMUSG00000028633/ENSMUSG00000029310/ENSMUSG00000029430/ENSMUSG00000029780/ENSMUSG00000014554/ENSMUSG00000032047/ENSMUSG00000032565",25
"Shared","GO:0006221","pyrimidine nucleotide biosynthetic process","6/486","25/22893",1.11543007063376e-05,0.002967917612591,0.00280937375632752,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000027203/ENSMUSG00000028633",6
"Shared","GO:1901361","organic cyclic compound catabolic process","26/486","476/22893",1.23477303122209e-05,0.002967917612591,0.00280937375632752,"ENSMUSG00000053333/ENSMUSG00000057113/ENSMUSG00000037331/ENSMUSG00000020515/ENSMUSG00000020736/ENSMUSG00000035139/ENSMUSG00000034575/ENSMUSG00000042275/ENSMUSG00000045211/ENSMUSG00000008393/ENSMUSG00000051483/ENSMUSG00000062078/ENSMUSG00000059208/ENSMUSG00000024906/ENSMUSG00000026728/ENSMUSG00000027203/ENSMUSG00000033068/ENSMUSG00000033882/ENSMUSG00000034610/ENSMUSG00000028675/ENSMUSG00000015806/ENSMUSG00000029310/ENSMUSG00000029780/ENSMUSG00000032047/ENSMUSG00000032396/ENSMUSG00000032565",26
"Shared","GO:0034470","ncRNA processing","23/486","393/22893",1.31949246894562e-05,0.002967917612591,0.00280937375632752,"ENSMUSG00000001785/ENSMUSG00000057113/ENSMUSG00000033909/ENSMUSG00000098134/ENSMUSG00000021550/ENSMUSG00000055065/ENSMUSG00000050312/ENSMUSG00000037805/ENSMUSG00000024251/ENSMUSG00000074890/ENSMUSG00000074576/ENSMUSG00000045662/ENSMUSG00000034610/ENSMUSG00000028653/ENSMUSG00000037364/ENSMUSG00000029715/ENSMUSG00000030942/ENSMUSG00000003848/ENSMUSG00000056820/ENSMUSG00000004100/ENSMUSG00000032288/ENSMUSG00000062309/ENSMUSG00000019039",23
"Shared","GO:0019439","aromatic compound catabolic process","25/486","450/22893",1.36256584156485e-05,0.002967917612591,0.00280937375632752,"ENSMUSG00000053333/ENSMUSG00000057113/ENSMUSG00000037331/ENSMUSG00000020515/ENSMUSG00000020736/ENSMUSG00000035139/ENSMUSG00000034575/ENSMUSG00000042275/ENSMUSG00000045211/ENSMUSG00000008393/ENSMUSG00000062078/ENSMUSG00000059208/ENSMUSG00000024906/ENSMUSG00000026728/ENSMUSG00000027203/ENSMUSG00000033068/ENSMUSG00000033882/ENSMUSG00000034610/ENSMUSG00000028675/ENSMUSG00000015806/ENSMUSG00000029310/ENSMUSG00000029780/ENSMUSG00000032047/ENSMUSG00000032396/ENSMUSG00000032565",25
"Shared","GO:0090407","organophosphate biosynthetic process","26/486","480/22893",1.427646099055e-05,0.002967917612591,0.00280937375632752,"ENSMUSG00000026192/ENSMUSG00000071359/ENSMUSG00000000301/ENSMUSG00000020534/ENSMUSG00000018500/ENSMUSG00000000276/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000020572/ENSMUSG00000021957/ENSMUSG00000034731/ENSMUSG00000062683/ENSMUSG00000005580/ENSMUSG00000071657/ENSMUSG00000025781/ENSMUSG00000063235/ENSMUSG00000027203/ENSMUSG00000027618/ENSMUSG00000074576/ENSMUSG00000016252/ENSMUSG00000027533/ENSMUSG00000028633/ENSMUSG00000029778/ENSMUSG00000043162/ENSMUSG00000014554/ENSMUSG00000032047",26
"Shared","GO:0044270","cellular nitrogen compound catabolic process","24/486","427/22893",1.67266097965791e-05,0.00325124891130856,0.00307756971688467,"ENSMUSG00000053333/ENSMUSG00000057113/ENSMUSG00000037331/ENSMUSG00000020515/ENSMUSG00000020736/ENSMUSG00000035139/ENSMUSG00000034575/ENSMUSG00000042275/ENSMUSG00000045211/ENSMUSG00000008393/ENSMUSG00000062078/ENSMUSG00000059208/ENSMUSG00000024906/ENSMUSG00000026728/ENSMUSG00000027203/ENSMUSG00000033068/ENSMUSG00000033882/ENSMUSG00000034610/ENSMUSG00000028675/ENSMUSG00000029310/ENSMUSG00000029780/ENSMUSG00000032047/ENSMUSG00000032396/ENSMUSG00000032565",24
"Shared","GO:0046700","heterocycle catabolic process","24/486","428/22893",1.73770652662136e-05,0.00325124891130856,0.00307756971688467,"ENSMUSG00000053333/ENSMUSG00000057113/ENSMUSG00000037331/ENSMUSG00000020515/ENSMUSG00000020736/ENSMUSG00000035139/ENSMUSG00000034575/ENSMUSG00000042275/ENSMUSG00000045211/ENSMUSG00000008393/ENSMUSG00000062078/ENSMUSG00000059208/ENSMUSG00000024906/ENSMUSG00000026728/ENSMUSG00000027203/ENSMUSG00000033068/ENSMUSG00000033882/ENSMUSG00000034610/ENSMUSG00000028675/ENSMUSG00000029310/ENSMUSG00000029780/ENSMUSG00000032047/ENSMUSG00000032396/ENSMUSG00000032565",24
"Shared","GO:0072527","pyrimidine-containing compound metabolic process","8/486","55/22893",1.97544218323264e-05,0.00352004983316977,0.00333201150204402,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000020638/ENSMUSG00000027203/ENSMUSG00000028633/ENSMUSG00000029780",8
"Shared","GO:0009176","pyrimidine deoxyribonucleoside monophosphate metabolic process","5/486","17/22893",2.11646527355443e-05,0.00359991502438213,0.00340761035670367,"ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000027203/ENSMUSG00000029780",5
"Shared","GO:0072528","pyrimidine-containing compound biosynthetic process","6/486","28/22893",2.24802520056086e-05,0.00365743926108641,0.00346206169331226,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000027203/ENSMUSG00000028633",6
"Shared","GO:0009141","nucleoside triphosphate metabolic process","11/486","112/22893",2.68958920305722e-05,0.00414421667374778,0.00392283583424605,"ENSMUSG00000071359/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000062683/ENSMUSG00000025781/ENSMUSG00000027203/ENSMUSG00000016252/ENSMUSG00000028633/ENSMUSG00000029430/ENSMUSG00000014554/ENSMUSG00000032565",11
"Shared","GO:0009147","pyrimidine nucleoside triphosphate metabolic process","5/486","18/22893",2.87946642216575e-05,0.00414421667374778,0.00392283583424605,"ENSMUSG00000071359/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000027203/ENSMUSG00000028633",5
"Shared","GO:0009200","deoxyribonucleoside triphosphate metabolic process","5/486","18/22893",2.87946642216575e-05,0.00414421667374778,0.00392283583424605,"ENSMUSG00000071359/ENSMUSG00000020638/ENSMUSG00000027203/ENSMUSG00000014554/ENSMUSG00000032565",5
"Shared","GO:0009157","deoxyribonucleoside monophosphate biosynthetic process","4/486","10/22893",3.80624528834065e-05,0.00527517402554471,0.00499337832174124,"ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000027203/ENSMUSG00000014554",4
"Shared","GO:0009162","deoxyribonucleoside monophosphate metabolic process","6/486","31/22893",4.1626065745149e-05,0.00556302635779813,0.00526585380573031,"ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000027203/ENSMUSG00000029780/ENSMUSG00000014554",6
"Shared","GO:0009165","nucleotide biosynthetic process","15/486","213/22893",5.41475345050369e-05,0.00698689910751201,0.00661366437783845,"ENSMUSG00000026192/ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000018500/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000020572/ENSMUSG00000062683/ENSMUSG00000005580/ENSMUSG00000025781/ENSMUSG00000027203/ENSMUSG00000016252/ENSMUSG00000028633/ENSMUSG00000014554/ENSMUSG00000032047",15
"Shared","GO:1901293","nucleoside phosphate biosynthetic process","15/486","217/22893",6.69030141835472e-05,0.00831984116234447,0.00787540170223893,"ENSMUSG00000026192/ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000018500/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000020572/ENSMUSG00000062683/ENSMUSG00000005580/ENSMUSG00000025781/ENSMUSG00000027203/ENSMUSG00000016252/ENSMUSG00000028633/ENSMUSG00000014554/ENSMUSG00000032047",15
"Shared","GO:0006399","tRNA metabolic process","13/486","169/22893",6.89243923123139e-05,0.00831984116234447,0.00787540170223893,"ENSMUSG00000046994/ENSMUSG00000021550/ENSMUSG00000050312/ENSMUSG00000024251/ENSMUSG00000074890/ENSMUSG00000027430/ENSMUSG00000074576/ENSMUSG00000028085/ENSMUSG00000028653/ENSMUSG00000029715/ENSMUSG00000030942/ENSMUSG00000062309/ENSMUSG00000019039",13
"Shared","GO:0072521","purine-containing compound metabolic process","21/486","390/22893",0.000102470622559525,0.0117465670993704,0.0111190745982676,"ENSMUSG00000026192/ENSMUSG00000041798/ENSMUSG00000000301/ENSMUSG00000020534/ENSMUSG00000018500/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000021226/ENSMUSG00000043487/ENSMUSG00000021786/ENSMUSG00000045211/ENSMUSG00000062683/ENSMUSG00000005580/ENSMUSG00000025781/ENSMUSG00000016252/ENSMUSG00000029310/ENSMUSG00000029430/ENSMUSG00000029780/ENSMUSG00000014554/ENSMUSG00000032047/ENSMUSG00000032565",21
"Shared","GO:0009129","pyrimidine nucleoside monophosphate metabolic process","5/486","23/22893",0.000103590784147307,0.0117465670993704,0.0111190745982676,"ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000027203/ENSMUSG00000029780",5
"Shared","GO:0046676","negative regulation of insulin secretion","7/486","52/22893",0.000109005436213806,0.0119970100680018,0.011356139097816,"ENSMUSG00000035828/ENSMUSG00000063235/ENSMUSG00000050556/ENSMUSG00000040016/ENSMUSG00000029174/ENSMUSG00000051256/ENSMUSG00000031548",7
"Shared","GO:0009148","pyrimidine nucleoside triphosphate biosynthetic process","4/486","13/22893",0.000123184111699982,0.0131701413137523,0.0124666025825696,"ENSMUSG00000071359/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000028633",4
"Shared","GO:0046386","deoxyribose phosphate catabolic process","5/486","26/22893",0.000192149590506457,0.0199728824354212,0.0189059465512933,"ENSMUSG00000020736/ENSMUSG00000045211/ENSMUSG00000027203/ENSMUSG00000029780/ENSMUSG00000032565",5
"Shared","GO:1901292","nucleoside phosphate catabolic process","8/486","76/22893",0.000207426476088008,0.0209781046897655,0.0198574706126926,"ENSMUSG00000020736/ENSMUSG00000045211/ENSMUSG00000027203/ENSMUSG00000033068/ENSMUSG00000029310/ENSMUSG00000029780/ENSMUSG00000032047/ENSMUSG00000032565",8
"Shared","GO:0008033","tRNA processing","10/486","118/22893",0.000213672109328445,0.0210410798186063,0.0199170816590088,"ENSMUSG00000021550/ENSMUSG00000050312/ENSMUSG00000024251/ENSMUSG00000074890/ENSMUSG00000074576/ENSMUSG00000028653/ENSMUSG00000029715/ENSMUSG00000030942/ENSMUSG00000062309/ENSMUSG00000019039",10
"Shared","GO:0006402","mRNA catabolic process","15/486","242/22893",0.000223634911778051,0.0214574830736787,0.0203112409752535,"ENSMUSG00000053333/ENSMUSG00000057113/ENSMUSG00000037331/ENSMUSG00000020515/ENSMUSG00000035139/ENSMUSG00000034575/ENSMUSG00000042275/ENSMUSG00000008393/ENSMUSG00000062078/ENSMUSG00000059208/ENSMUSG00000026728/ENSMUSG00000033882/ENSMUSG00000034610/ENSMUSG00000028675/ENSMUSG00000032565",15
"Shared","GO:0009264","deoxyribonucleotide catabolic process","5/486","27/22893",0.000231732697789782,0.0216785938782341,0.0205205402121741,"ENSMUSG00000020736/ENSMUSG00000045211/ENSMUSG00000027203/ENSMUSG00000029780/ENSMUSG00000032565",5
"Shared","GO:0006400","tRNA modification","8/486","78/22893",0.000248586452431958,0.0226880610975704,0.021476082475829,"ENSMUSG00000021550/ENSMUSG00000050312/ENSMUSG00000024251/ENSMUSG00000074890/ENSMUSG00000074576/ENSMUSG00000028653/ENSMUSG00000030942/ENSMUSG00000019039",8
"Shared","GO:0009142","nucleoside triphosphate biosynthetic process","8/486","79/22893",0.000271541921234499,0.0241930921252261,0.0229007159136363,"ENSMUSG00000071359/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000062683/ENSMUSG00000025781/ENSMUSG00000016252/ENSMUSG00000028633/ENSMUSG00000014554",8
"Shared","GO:0005978","glycogen biosynthetic process","6/486","44/22893",0.000316097385773047,0.0268826458536987,0.0254465957685719,"ENSMUSG00000071072/ENSMUSG00000041798/ENSMUSG00000001891/ENSMUSG00000044231/ENSMUSG00000049999/ENSMUSG00000046785",6
"Shared","GO:0009250","glucan biosynthetic process","6/486","44/22893",0.000316097385773047,0.0268826458536987,0.0254465957685719,"ENSMUSG00000071072/ENSMUSG00000041798/ENSMUSG00000001891/ENSMUSG00000044231/ENSMUSG00000049999/ENSMUSG00000046785",6
"Shared","GO:0090278","negative regulation of peptide hormone secretion","7/486","63/22893",0.000368929604332574,0.0306785462091665,0.029039722072026,"ENSMUSG00000035828/ENSMUSG00000063235/ENSMUSG00000050556/ENSMUSG00000040016/ENSMUSG00000029174/ENSMUSG00000051256/ENSMUSG00000031548",7
"Shared","GO:0061179","negative regulation of insulin secretion involved in cellular response to glucose stimulus","4/486","17/22893",0.000383289430238301,0.031179761911994,0.0295141632208669,"ENSMUSG00000035828/ENSMUSG00000063235/ENSMUSG00000029174/ENSMUSG00000051256",4
"Shared","GO:0006401","RNA catabolic process","16/486","284/22893",0.00040825411026887,0.0325039761835343,0.0307676389933874,"ENSMUSG00000053333/ENSMUSG00000057113/ENSMUSG00000037331/ENSMUSG00000020515/ENSMUSG00000035139/ENSMUSG00000034575/ENSMUSG00000042275/ENSMUSG00000008393/ENSMUSG00000062078/ENSMUSG00000059208/ENSMUSG00000026728/ENSMUSG00000033882/ENSMUSG00000034610/ENSMUSG00000028675/ENSMUSG00000032396/ENSMUSG00000032565",16
"Shared","GO:0019693","ribose phosphate metabolic process","19/486","374/22893",0.000446596929487536,0.0341861361875336,0.0323599393150442,"ENSMUSG00000026192/ENSMUSG00000041798/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000021226/ENSMUSG00000043487/ENSMUSG00000021786/ENSMUSG00000021957/ENSMUSG00000045211/ENSMUSG00000062683/ENSMUSG00000005580/ENSMUSG00000025781/ENSMUSG00000016252/ENSMUSG00000028633/ENSMUSG00000029310/ENSMUSG00000029430/ENSMUSG00000029780/ENSMUSG00000014554/ENSMUSG00000032047",19
"Shared","GO:0002792","negative regulation of peptide secretion","7/486","65/22893",0.000447653841044668,0.0341861361875336,0.0323599393150442,"ENSMUSG00000035828/ENSMUSG00000063235/ENSMUSG00000050556/ENSMUSG00000040016/ENSMUSG00000029174/ENSMUSG00000051256/ENSMUSG00000031548",7
"Shared","GO:0046434","organophosphate catabolic process","11/486","155/22893",0.000490987983060278,0.0360807784195182,0.0341533712289175,"ENSMUSG00000061666/ENSMUSG00000020736/ENSMUSG00000045211/ENSMUSG00000027203/ENSMUSG00000033068/ENSMUSG00000044968/ENSMUSG00000029310/ENSMUSG00000029780/ENSMUSG00000032047/ENSMUSG00000032565/ENSMUSG00000050627",11
"Shared","GO:0009166","nucleotide catabolic process","7/486","66/22893",0.000491747648154844,0.0360807784195182,0.0341533712289175,"ENSMUSG00000020736/ENSMUSG00000045211/ENSMUSG00000027203/ENSMUSG00000029310/ENSMUSG00000029780/ENSMUSG00000032047/ENSMUSG00000032565",7
"Shared","GO:0030073","insulin secretion","14/486","234/22893",0.000511282858717762,0.0367927011023436,0.0348272635543577,"ENSMUSG00000041798/ENSMUSG00000056553/ENSMUSG00000035828/ENSMUSG00000024208/ENSMUSG00000063235/ENSMUSG00000050556/ENSMUSG00000040016/ENSMUSG00000029174/ENSMUSG00000051256/ENSMUSG00000030805/ENSMUSG00000031548/ENSMUSG00000031993/ENSMUSG00000034593/ENSMUSG00000066456",14
"Shared","GO:0009123","nucleoside monophosphate metabolic process","7/486","67/22893",0.000539233048839473,0.0380718880897605,0.0360381173653392,"ENSMUSG00000026192/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000027203/ENSMUSG00000029780/ENSMUSG00000014554",7
"EpiLC only","GO:0022613","ribonucleoprotein complex biogenesis","139/3551","404/22893",2.60243746270695e-21,1.64005608899792e-17,1.21520132469137e-17,"ENSMUSG00000061024/ENSMUSG00000025962/ENSMUSG00000026234/ENSMUSG00000026377/ENSMUSG00000001674/ENSMUSG00000041879/ENSMUSG00000042699/ENSMUSG00000026473/ENSMUSG00000039224/ENSMUSG00000016181/ENSMUSG00000019814/ENSMUSG00000020075/ENSMUSG00000020180/ENSMUSG00000032977/ENSMUSG00000061032/ENSMUSG00000020211/ENSMUSG00000004356/ENSMUSG00000063334/ENSMUSG00000020430/ENSMUSG00000000581/ENSMUSG00000020409/ENSMUSG00000018921/ENSMUSG00000018446/ENSMUSG00000040463/ENSMUSG00000010554/ENSMUSG00000038335/ENSMUSG00000020692/ENSMUSG00000020677/ENSMUSG00000018697/ENSMUSG00000018405/ENSMUSG00000018379/ENSMUSG00000020706/ENSMUSG00000018433/ENSMUSG00000057322/ENSMUSG00000061458/ENSMUSG00000060499/ENSMUSG00000046791/ENSMUSG00000021270/ENSMUSG00000021607/ENSMUSG00000021645/ENSMUSG00000025290/ENSMUSG00000004561/ENSMUSG00000022204/ENSMUSG00000002319/ENSMUSG00000022009/ENSMUSG00000052253/ENSMUSG00000022300/ENSMUSG00000022313/ENSMUSG00000002524/ENSMUSG00000060036/ENSMUSG00000058655/ENSMUSG00000005846/ENSMUSG00000022682/ENSMUSG00000022672/ENSMUSG00000022724/ENSMUSG00000036983/ENSMUSG00000116564/ENSMUSG00000024188/ENSMUSG00000004865/ENSMUSG00000058392/ENSMUSG00000007050/ENSMUSG00000019432/ENSMUSG00000040140/ENSMUSG00000023971/ENSMUSG00000023988/ENSMUSG00000041057/ENSMUSG00000055760/ENSMUSG00000002477/ENSMUSG00000038299/ENSMUSG00000024735/ENSMUSG00000024991/ENSMUSG00000049950/ENSMUSG00000052406/ENSMUSG00000017999/ENSMUSG00000078784/ENSMUSG00000027810/ENSMUSG00000028069/ENSMUSG00000015748/ENSMUSG00000027905/ENSMUSG00000028134/ENSMUSG00000028010/ENSMUSG00000028187/ENSMUSG00000058006/ENSMUSG00000028322/ENSMUSG00000028495/ENSMUSG00000044303/ENSMUSG00000028869/ENSMUSG00000028676/ENSMUSG00000017264/ENSMUSG00000028948/ENSMUSG00000029066/ENSMUSG00000095567/ENSMUSG00000040464/ENSMUSG00000001569/ENSMUSG00000067367/ENSMUSG00000070697/ENSMUSG00000029415/ENSMUSG00000035266/ENSMUSG00000018974/ENSMUSG00000060152/ENSMUSG00000029480/ENSMUSG00000029439/ENSMUSG00000025337/ENSMUSG00000040731/ENSMUSG00000016503/ENSMUSG00000056305/ENSMUSG00000035125/ENSMUSG00000057278/ENSMUSG00000035378/ENSMUSG00000030138/ENSMUSG00000030224/ENSMUSG00000012848/ENSMUSG00000040952/ENSMUSG00000046865/ENSMUSG00000003423/ENSMUSG00000038646/ENSMUSG00000031446/ENSMUSG00000031578/ENSMUSG00000031527/ENSMUSG00000014907/ENSMUSG00000035559/ENSMUSG00000031683/ENSMUSG00000058355/ENSMUSG00000036779/ENSMUSG00000060098/ENSMUSG00000031917/ENSMUSG00000109941/ENSMUSG00000053289/ENSMUSG00000034218/ENSMUSG00000032297/ENSMUSG00000032215/ENSMUSG00000032409/ENSMUSG00000041506/ENSMUSG00000032518/ENSMUSG00000025794/ENSMUSG00000025785/ENSMUSG00000031403/ENSMUSG00000025266/ENSMUSG00000025264",139
