PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_bound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_009989	chr2	76360153	76360753	-	0	NA	promoter-TSS (NM_009989)	promoter-TSS (NM_009989)	0	NM_009989	13067		NM_009989	ENSMUSG00000056436	Cyct	T-Cc	cytochrome c, testis	protein-coding	0.025000	0.535774	-23(GCGGGA,-,0.00)
NM_028448	chr11	62538961	62539561	-	0	NA	promoter-TSS (NM_028448)	promoter-TSS (NM_028448)	0	NM_028448	73139		NM_028448	ENSMUSG00000018509	Cenpv	3110013H01Rik|Prr6	centromere protein V	protein-coding	0.123333	0.727121	8(GCGGGA,-,0.00),91(GCGGGA,-,0.00)
NM_175241	chr5	107534420	107535020	+	0	NA	promoter-TSS (NM_175241)	promoter-TSS (NM_175241)	0	NM_175241	76421		NM_175241	ENSMUSG00000089798	1700028K03Rik	SCRE|Spo16	RIKEN cDNA 1700028K03 gene	protein-coding	0.031667	0.540765	-74(TCCCGC,+,0.00)
NM_001033408	chr1	91144803	91145403	+	0	NA	promoter-TSS (NM_001033408)	promoter-TSS (NM_001033408)	0	NM_001033408	329207		NM_001033408	ENSMUSG00000070732	Rbm44	Gm817	RNA binding motif protein 44	protein-coding	0.041667	0.589018	-129(TCCCGC,+,0.00)
NR_029655	chr9	51103345	51103945	-	0	NA	promoter-TSS (NR_029655)	promoter-TSS (NR_029655)	0	NR_029655	723849		NR_029655	ENSMUSG00000065492	Mir34b	Mirn34b|mir-34b|mmu-mir-34b	microRNA 34b	ncRNA	0.081667	0.655574	-241(GCGGGA,-,0.00),101(GCGGGA,-,0.00)
NM_009877	chr4	89294319	89294919	-	0	NA	promoter-TSS (NM_009877)	promoter-TSS (NM_009877)	0	NM_009877	12578		NM_009877	ENSMUSG00000044303	Cdkn2a	ARF-INK4a|Arf|INK4a-ARF|Ink4a/Arf|MTS1|Pctr1|p16|p16(INK4a)|p16INK4a|p19<ARF>|p19ARF	cyclin dependent kinase inhibitor 2A	protein-coding	0.113333	0.697171	-236(TCCCGC,+,0.00),-191(GCGGGA,-,0.00),-168(GCGGGA,-,0.00),-158(GCGGGA,-,0.00),-97(TCCCGC,+,0.00),88(GCGGGA,-,0.00)
NM_001024954	chr8	69832324	69832924	+	0	NA	promoter-TSS (NM_001024954)	promoter-TSS (NM_001024954)	0	NM_001024954	80720		NM_001024954	ENSMUSG00000031860	Pbx4	2410015M21Rik	pre B cell leukemia homeobox 4	protein-coding	0.068333	0.630616	45(GCGGGA,-,0.00),262(GCGGGA,-,0.00)
NM_001033043	chr14	56402397	56402997	+	0	NA	promoter-TSS (NM_001033043)	promoter-TSS (NM_001033043)	0	NM_001033043	30054		NM_001033043	ENSMUSG00000000365	Rnf17	MMIP-2|Mmip2|TDRD4	ring finger protein 17	protein-coding	0.050000	0.590682	
NM_013782	chr7	141130986	141131586	+	0	NA	promoter-TSS (NM_013782)	promoter-TSS (NM_013782)	0	NM_013782	27388		NM_013782	ENSMUSG00000025495	Ptdss2	PSS2	phosphatidylserine synthase 2	protein-coding	0.080000	0.623960	37(TCCCGC,+,0.00)
NM_001145452	chr17	80307107	80307707	+	0	NA	promoter-TSS (NM_001145452)	promoter-TSS (NM_001145452)	0	NM_001145452	381112		NM_001145452	ENSMUSG00000054901	Arhgef33	Gm941	Rho guanine nucleotide exchange factor 33	protein-coding	0.006667	0.419301	
NM_029779	chr16	17144123	17144723	-	0	NA	promoter-TSS (NM_029779)	promoter-TSS (NM_029779)	0	NM_029779	76872		NM_029779	ENSMUSG00000022768	Ccdc116	4930432J16Rik	coiled-coil domain containing 116	protein-coding	0.020000	0.507488	
NM_029256	chr7	90265132	90265732	-	0	NA	promoter-TSS (NR_111924)	promoter-TSS (NR_111924)	0	NM_029256	75338		NM_029256	ENSMUSG00000030617	Ccdc83	4930549K11Rik|4930554C01Rik|4932423M01Rik	coiled-coil domain containing 83	protein-coding	0.030000	0.510815	-281(GCGGGA,-,0.00)
NM_028500	chr8	72443478	72444078	-	0	NA	promoter-TSS (NM_028170)	promoter-TSS (NM_028170)	0	NM_028500	73316		NM_028500	ENSMUSG00000019732	Calr3	1700031L01Rik|6330586I20Rik|Crt2|cspn	calreticulin 3	protein-coding	0.058333	0.587354	-189(TCCCGC,+,0.00)
NM_026150	chr11	3894826	3895426	-	0	NA	promoter-TSS (NM_173745)	promoter-TSS (NM_173745)	0	NM_026150	67430		NM_026150	ENSMUSG00000020434	4921536K21Rik	-	RIKEN cDNA 4921536K21 gene	protein-coding	0.063333	0.582363	
NM_001033234	chrX	37210741	37211341	-	0	NA	promoter-TSS (NM_001033234)	promoter-TSS (NM_001033234)	0	NM_001033234	194854		NM_001033234	ENSMUSG00000073243	Gm9	-	predicted gene 9	protein-coding	0.025000	0.507488	
NM_009482	chr7	139943556	139944156	+	0	NA	promoter-TSS (NM_009482)	promoter-TSS (NM_009482)	0	NM_009482	22286		NM_009482	ENSMUSG00000047751	Utf1	-	undifferentiated embryonic cell transcription factor 1	protein-coding	0.075000	0.613977	139(GCGGGA,-,0.00)
NM_023543	chr6	54272522	54273122	+	0	NA	promoter-TSS (NM_023543)	promoter-TSS (NM_023543)	0	NM_023543	69993		NM_023543	ENSMUSG00000004633	Chn2	1700026N20Rik|4930557O16Rik|ARHGAP3|Bch	chimerin 2	protein-coding	0.016667	0.544093	
NM_153072	chr13	30947461	30948061	-	0	NA	promoter-TSS (NM_153072)	promoter-TSS (NM_153072)	0	NM_153072	210554		NM_153072	ENSMUSG00000076430	Hus1b	-	HUS1 checkpoint clamp component B	protein-coding	0.025000	0.565724	
NM_025687	chr9	50560968	50561568	-	0	NA	promoter-TSS (NM_025687)	promoter-TSS (NM_025687)	0	NM_025687	66654		NM_025687	ENSMUSG00000032065	Tex12	5730518K06Rik	testis expressed 12	protein-coding	0.075000	0.618968	-145(GCGGGA,-,0.00)
NM_027029	chr1	86021645	86022245	+	0	NA	promoter-TSS (NM_028647)	promoter-TSS (NM_028647)	0	NM_027029	70060		NM_027029	ENSMUSG00000026226	Spata3	1700011N12Rik|1700029H01Rik|4930424D10Rik|Mtsarg1|Tsarg1	spermatogenesis associated 3	protein-coding	0.025000	0.544093	
NM_022987	chr14	122465358	122465958	-	0	NA	promoter-TSS (NM_022987)	promoter-TSS (NM_022987)	0	NM_022987	65100		NM_022987	ENSMUSG00000041703	Zic5	1700049L20Rik|Opr	zinc finger protein of the cerebellum 5	protein-coding	0.041667	0.577371	48(TCCCGC,+,0.00)
NM_001164258	chr7	99858918	99859518	+	0	NA	promoter-TSS (NM_001164258)	promoter-TSS (NM_001164258)	0	NM_001164258	446101		NM_001164258	ENSMUSG00000035211	Xrra1	-	X-ray radiation resistance associated 1	protein-coding	0.051667	0.537438	
NM_007866	chr7	28301485	28302085	-	0	NA	promoter-TSS (NM_007866)	promoter-TSS (NM_007866)	0	NM_007866	13389		NM_007866	ENSMUSG00000003436	Dll3	pu|pudgy	delta like canonical Notch ligand 3	protein-coding	0.031667	0.544093	
NM_028673	chr1	63272969	63273569	+	0	NA	promoter-TSS (NM_001267872)	promoter-TSS (NM_001267872)	0	NM_028673	73884		NM_028673	ENSMUSG00000027520	Zdbf2	4930431J08Rik|9330107J05Rik	zinc finger, DBF-type containing 2	protein-coding	0.133333	0.743760	-155(GCGGGA,-,0.00),293(TCCCGC,+,0.00)
NM_026182	chr3	19187810	19188410	+	0	NA	promoter-TSS (NM_001356295)	promoter-TSS (NM_001356295)	0	NM_026182	67472		NM_026182	ENSMUSG00000027601	Mtfr1	1300002C08Rik|1700080D04Rik|2810026O10Rik|4930579E05Rik|Chppr|Fam54a2	mitochondrial fission regulator 1	protein-coding	0.073333	0.645591	249(GCGGGA,-,0.00),292(GCGGGA,-,0.00)
NM_027544	chr17	27028959	27029559	+	0	NA	promoter-TSS (NM_027544)	promoter-TSS (NM_027544)	0	NM_027544	70772		NM_027544	ENSMUSG00000048731	Ggnbp1	0610031G08Rik|mdf	gametogenetin binding protein 1	protein-coding	0.021667	0.599002	
NM_001134767	chr5	123930389	123930989	+	0	NA	promoter-TSS (NM_001134767)	promoter-TSS (NM_001134767)	0	NM_001134767	208908		NM_001134767	ENSMUSG00000061882	Ccdc62	G1-485-3|Gm150|repro29	coiled-coil domain containing 62	protein-coding	0.098333	0.645591	-171(TCCCGC,+,0.00)
NM_029019	chr18	70472154	70472754	+	0	NA	promoter-TSS (NM_001379433)	promoter-TSS (NM_001379433)	0	NM_029019	170461		NM_029019	ENSMUSG00000079608	Stard6	1700011K09Rik|4833424I06Rik|4933429L05Rik	StAR related lipid transfer domain containing 6	protein-coding	0.085000	0.652246	-199(GCGGGA,-,0.00)
NM_172553	chr10	103028477	103029077	-	0	NA	promoter-TSS (NM_172553)	promoter-TSS (NM_172553)	0	NM_172553	216285		NM_172553	ENSMUSG00000036602	Alx1	C130005I02|Cart1	ALX homeobox 1	protein-coding	0.051667	0.585691	89(TCCCGC,+,0.00)
NM_021294	chr11	76217313	76217913	+	0	NA	promoter-TSS (NM_021294)	promoter-TSS (NM_021294)	0	NM_021294	13168		NM_021294	ENSMUSG00000038057	Dbil5	ELP	diazepam binding inhibitor-like 5	protein-coding	0.073333	0.653910	
NM_019723	chr11	53980033	53980633	-	0	NA	promoter-TSS (NM_019723)	promoter-TSS (NM_019723)	0	NM_019723	56517		NM_019723	ENSMUSG00000063652	Slc22a21	Octn3|Slc22a9	solute carrier family 22 (organic cation transporter), member 21	protein-coding	0.073333	0.655574	86(TCCCGC,+,0.00)
NM_023879	chr14	52110603	52111203	+	0	NA	promoter-TSS (NM_001168515)	promoter-TSS (NM_001168515)	0	NM_023879	77945		NM_023879	ENSMUSG00000057132	Rpgrip1	0610005A07Rik|4930401L23Rik|4930505G06Rik|A930002K18Rik|nmf247	retinitis pigmentosa GTPase regulator interacting protein 1	protein-coding	0.008333	0.429285	
NM_021470	chr5	29195693	29196293	+	0	NA	promoter-TSS (NM_021470)	promoter-TSS (NM_021470)	0	NM_021470	56874		NM_021470	ENSMUSG00000029130	Rnf32	1700009J01Rik|2700025B22Rik|4930542N22Rik|Lmbr2	ring finger protein 32	protein-coding	0.103333	0.665557	129(TCCCGC,+,0.00),204(GCGGGA,-,0.00)
NM_029687	chr2	38998009	38998609	+	0	NA	promoter-TSS (NM_029687)	promoter-TSS (NM_029687)	0	NM_029687	76646		NM_029687	ENSMUSG00000035295	Wdr38	1700123D08Rik	WD repeat domain 38	protein-coding	0.036667	0.575707	
NM_016875	chr11	69935599	69936199	+	0	NA	promoter-TSS (NM_001347634)	promoter-TSS (NM_001347634)	0	NM_016875	53422		NM_016875	ENSMUSG00000018554	Ybx2	Msy2	Y box protein 2	protein-coding	0.136667	0.778702	-218(GCGGGA,-,0.00),-121(GCGGGA,-,0.00),71(GCGGGA,-,0.00),175(GCGGGA,-,0.00)
NM_175296	chr1	166238444	166239044	-	0	NA	promoter-TSS (NM_175296)	promoter-TSS (NM_175296)	0	NM_175296	98558		NM_175296	ENSMUSG00000040629	Mael	4933405K18Rik	maelstrom spermatogenic transposon silencer	protein-coding	0.081667	0.658902	-143(TCCCGC,+,0.00),11(GCGGGA,-,0.00)
NM_031870	chr3	153905838	153906438	-	0	NA	promoter-TSS (NM_031870)	promoter-TSS (NM_031870)	0	NM_031870	55993		NM_031870	ENSMUSG00000005493	Msh4	4930485C04Rik|mMsh4	mutS homolog 4	protein-coding	0.043333	0.515807	209(TCCCGC,+,0.00)
NM_001111119	chr14	50795428	50796028	-	0	NA	promoter-TSS (NM_001111119)	promoter-TSS (NM_001111119)	0	NM_001111119	239083		NM_001111119	ENSMUSG00000071470	Ccnb1ip1	Gm288|Hei10|mei4	cyclin B1 interacting protein 1	protein-coding	0.031667	0.490849	-21(TCCCGC,+,0.00)
NM_027759	chr2	118256666	118257266	-	0	NA	promoter-TSS (NM_001374672)	promoter-TSS (NM_001374672)	0	NM_027759	71313		NM_027759	ENSMUSG00000027344	Fsip1	1700012M13Rik|4933432K11Rik	fibrous sheath-interacting protein 1	protein-coding	0.050000	0.574043	59(GCGGGA,-,0.00)
NM_019943	chr5	142529776	142530376	-	0	NA	promoter-TSS (NM_019943)	promoter-TSS (NM_019943)	0	NM_019943	56522		NM_019943	ENSMUSG00000074817	Papolb	PAP|Paplob|Papola-ps|Papt|Plap-ps|Tpap	poly (A) polymerase beta (testis specific)	protein-coding	0.086667	0.662230	177(GCGGGA,-,0.00),234(TCCCGC,+,0.00)
NM_013615	chr2	29889763	29890363	+	0	NA	promoter-TSS (NM_013615)	promoter-TSS (NM_013615)	0	NM_013615	18286		NM_013615	ENSMUSG00000026790	Odf2	MMTEST29	outer dense fiber of sperm tails 2	protein-coding	0.110000	0.722130	-248(GCGGGA,-,0.00),20(TCCCGC,+,0.00)
NM_144953	chr1	52952540	52953140	-	0	NA	promoter-TSS (NM_144953)	promoter-TSS (NM_144953)	0	NM_144953	67080		NM_144953	ENSMUSG00000043629	1700019D03Rik	2410136C24Rik|smAKAP	RIKEN cDNA 1700019D03 gene	protein-coding	0.058333	0.648918	
NM_133706	chr11	78550435	78551035	-	0	NA	promoter-TSS (NM_133706)	promoter-TSS (NM_133706)	0	NM_133706	69071		NM_133706	ENSMUSG00000037278	Tmem97	1810014L12Rik|D11Bhm182e	transmembrane protein 97	protein-coding	0.081667	0.640599	-11(GCGGGA,-,0.00)
NM_029467	chr11	106276372	106276972	+	0	NA	promoter-TSS (NM_029467)	promoter-TSS (NM_029467)	0	NM_029467	75870		NM_029467	ENSMUSG00000020712	Tcam1	4930570F09Rik	testicular cell adhesion molecule 1	protein-coding	0.046667	0.520799	
NM_027742	chr9	111117811	111118411	+	0	NA	promoter-TSS (NM_001164838)	promoter-TSS (NM_001164838)	0	NM_027742	71268		NM_027742	ENSMUSG00000032497	Lrrfip2	5133400F20Rik	leucine rich repeat (in FLII) interacting protein 2	protein-coding	0.128333	0.730449	262(TCCCGC,+,0.00)
NM_001081294	chr7	25301059	25301659	+	0	NA	promoter-TSS (NM_001081294)	promoter-TSS (NM_001081294)	0	NM_001081294	623131		NM_001081294	ENSMUSG00000058741	Prr19	EG623131	proline rich 19	protein-coding	0.036667	0.594010	
NM_183139	chr11	59787357	59787957	-	0	NA	promoter-TSS (NM_001290283)	promoter-TSS (NM_001290283)	0	NM_183139	194908		NM_183139	ENSMUSG00000043648	Pld6	4933433K01Rik|Gm10|Zuc|mZuc|mitoPLD	phospholipase D family member 6	protein-coding	0.066667	0.642263	
NM_001033338	chr16	17207835	17208435	+	0	NA	promoter-TSS (NM_001033338)	promoter-TSS (NM_001033338)	0	NM_001033338	239731		NM_001033338	ENSMUSG00000071636	Rimbp3	Gm1759|Gm603|RIM-BP3|mKIAA1666	RIMS binding protein 3	protein-coding	0.013333	0.420965	
NM_015768	chr6	99726092	99726692	-	0	NA	promoter-TSS (NM_001170419)	promoter-TSS (NM_001170419)	0	NM_015768	50501		NM_015768	ENSMUSG00000030069	Prok2	Bv8|PK2|Prok1	prokineticin 2	protein-coding	0.111667	0.698835	
NM_010021	chr17	50293320	50293920	-	0	NA	promoter-TSS (NM_001277863)	promoter-TSS (NM_001277863)	0	NM_010021	13164		NM_010021	ENSMUSG00000010592	Dazl	Daz-like|Dazh|Dazl1|Dazla|Tpx-2|Tpx2	deleted in azoospermia-like	protein-coding	0.086667	0.647255	
NM_029916	chr6	49395304	49395904	+	0	NA	promoter-TSS (NM_029916)	promoter-TSS (NM_029916)	0	NM_029916	77485		NM_029916	ENSMUSG00000023403	Stk31	C330007K24Rik	serine threonine kinase 31	protein-coding	0.078333	0.653910	
NM_001143765	chr7	140787554	140788154	-	0	NA	promoter-TSS (NM_001143765)	promoter-TSS (NM_001143765)	0	NM_001143765	74075		NM_001143765	ENSMUSG00000025480	Syce1	4933406J07Rik	synaptonemal complex central element protein 1	protein-coding	0.048333	0.590682	
NM_001037923	chr3	65665928	65666528	+	0	NA	promoter-TSS (NM_001166659)	promoter-TSS (NM_001166659)	0	NM_001037923	624866		NM_001037923	ENSMUSG00000074579	Lekr1	EG546798|EG624866|Gm6534	leucine, glutamate and lysine rich 1	protein-coding	0.095000	0.660566	-199(TCCCGC,+,0.00),160(GCGGGA,-,0.00),197(GCGGGA,-,0.00)
NM_173408	chr7	119895158	119895758	-	0	NA	promoter-TSS (NM_001285960)	promoter-TSS (NM_001285960)	0	NM_173408	233805		NM_173408	ENSMUSG00000048787	Dcun1d3	1700020A13Rik|DCNL3|SCCRO3	defective in cullin neddylation 1 domain containing 3	protein-coding	0.053333	0.635607	
NM_028897	chr15	82069817	82070417	+	0	NA	promoter-TSS (NM_028897)	promoter-TSS (NM_028897)	0	NM_028897	74369		NM_028897	ENSMUSG00000068117	Mei1	4932408F18Rik|mei1	meiotic double-stranded break formation protein 1	protein-coding	0.070000	0.570715	-25(GCGGGA,-,0.00),46(TCCCGC,+,0.00)
NM_146186	chr7	30280110	30280710	-	0	NA	promoter-TSS (NR_152437)	promoter-TSS (NR_152437)	0	NM_146186	233064		NM_146186	ENSMUSG00000037020	Wdr62	2310038K02Rik|b2b1508Clo	WD repeat domain 62	protein-coding	0.066667	0.589018	-6(TCCCGC,+,0.00),144(GCGGGA,-,0.00)
NM_001162933	chr12	66284101	66284701	-	0	NA	promoter-TSS (NM_001162933)	promoter-TSS (NM_001162933)	0	NM_001162933	238217		NM_001162933	ENSMUSG00000060499	Rpl10l	EG238217	ribosomal protein L10-like	protein-coding	0.060000	0.552413	-43(TCCCGC,+,0.00)
NM_008299	chr1	88205448	88206048	-	0	NA	promoter-TSS (NM_008299)	promoter-TSS (NM_008299)	0	NM_008299	15504		NM_008299	ENSMUSG00000081984	Dnajb3	Hsj3|MSJ-1|Msj1	DnaJ heat shock protein family (Hsp40) member B3	protein-coding	0.085000	0.625624	
NM_007487	chr12	40037076	40037676	-	0	NA	promoter-TSS (NM_007487)	promoter-TSS (NM_007487)	0	NM_007487	11861		NM_007487	ENSMUSG00000047446	Arl4a	Arl4	ADP-ribosylation factor-like 4A	protein-coding	0.075000	0.653910	-116(GCGGGA,-,0.00)
NM_183097	chr8	84001163	84001763	+	0	NA	promoter-TSS (NM_183097)	promoter-TSS (NM_183097)	0	NM_183097	73453		NM_183097	ENSMUSG00000046408	1700067K01Rik	-	RIKEN cDNA 1700067K01 gene	protein-coding	0.086667	0.680532	
