PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_bound_germDEGS_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_021422	chr9	54699259	54699859	+	0	NA	promoter-TSS (NM_021422)	promoter-TSS (NM_021422)	0	NM_021422	58233		NM_021422	ENSMUSG00000032285	Dnaja4	1110021L12Rik|Dj4|Hsj4|mmDjA4	DnaJ heat shock protein family (Hsp40) member A4	protein-coding	0.128333	0.703827	
NM_029660	chr7	107209145	107209745	+	0	NA	promoter-TSS (NM_029660)	promoter-TSS (NM_029660)	0	NM_029660	76572		NM_029660	ENSMUSG00000073894	Rbmxl2	1700012H05Rik|Hnrnpg-t	RNA binding motif protein, X-linked-like 2	protein-coding	0.093333	0.635607	-61(TCCCGC,+,0.00)
NM_009877	chr4	89294319	89294919	-	0	NA	promoter-TSS (NM_009877)	promoter-TSS (NM_009877)	0	NM_009877	12578		NM_009877	ENSMUSG00000044303	Cdkn2a	ARF-INK4a|Arf|INK4a-ARF|Ink4a/Arf|MTS1|Pctr1|p16|p16(INK4a)|p16INK4a|p19<ARF>|p19ARF	cyclin dependent kinase inhibitor 2A	protein-coding	0.113333	0.697171	-236(TCCCGC,+,0.00),-191(GCGGGA,-,0.00),-168(GCGGGA,-,0.00),-158(GCGGGA,-,0.00),-97(TCCCGC,+,0.00),88(GCGGGA,-,0.00)
NM_031374	chr8	33570244	33570844	+	0	NA	promoter-TSS (NM_031374)	promoter-TSS (NM_031374)	0	NM_031374	104271		NM_031374	ENSMUSG00000009628	Tex15	2210014E14Rik	testis expressed gene 15 meiosis and synapsis associated	protein-coding	0.001667	0.342762	
NM_019943	chr5	142529776	142530376	-	0	NA	promoter-TSS (NM_019943)	promoter-TSS (NM_019943)	0	NM_019943	56522		NM_019943	ENSMUSG00000074817	Papolb	PAP|Paplob|Papola-ps|Papt|Plap-ps|Tpap	poly (A) polymerase beta (testis specific)	protein-coding	0.086667	0.662230	177(GCGGGA,-,0.00),234(TCCCGC,+,0.00)
NM_010021	chr17	50293320	50293920	-	0	NA	promoter-TSS (NM_001277863)	promoter-TSS (NM_001277863)	0	NM_010021	13164		NM_010021	ENSMUSG00000010592	Dazl	Daz-like|Dazh|Dazl1|Dazla|Tpx-2|Tpx2	deleted in azoospermia-like	protein-coding	0.086667	0.647255	
NM_028034	chr7	35537444	35538044	-	0	NA	promoter-TSS (NM_028034)	promoter-TSS (NM_028034)	0	NM_028034	71981		NM_028034	ENSMUSG00000030491	Tdrd12	2410004F06Rik|2410070K17Rik|ECAT8|EG434165|G1-476-14|repro23	tudor domain containing 12	protein-coding	0.036667	0.590682	
NM_026489	chr3	95559377	95559977	+	0	NA	promoter-TSS (NM_001289537)	promoter-TSS (NM_001289537)	0	NM_026489	67981		NM_026489	ENSMUSG00000028109	Hormad1	4921522K05Rik|Nohma	HORMA domain containing 1	protein-coding	0.061667	0.569052	-95(GCGGGA,-,0.00)
NM_028937	chr3	55181744	55182344	+	0	NA	promoter-TSS (NM_028937)	promoter-TSS (NM_028937)	0	NM_028937	74434		NM_028937	ENSMUSG00000027794	Sohlh2	4933406N12Rik|Sosf2	spermatogenesis and oogenesis specific basic helix-loop-helix 2	protein-coding	0.050000	0.635607	202(TCCCGC,+,0.00),267(GCGGGA,-,0.00)
NM_028902	chr17	32034208	32034808	-	0	NA	promoter-TSS (NM_028902)	promoter-TSS (NM_028902)	0	NM_028902	74377		NM_028902	ENSMUSG00000002076	Hsf2bp	4932437G14Rik|Meilb2	heat shock transcription factor 2 binding protein	protein-coding	0.050000	0.569052	-49(TCCCGC,+,0.00)
NM_027957	chr1	36593032	36593632	-	0	NA	promoter-TSS (NM_027957)	promoter-TSS (NM_027957)	0	NM_027957	381337		NM_027957	ENSMUSG00000046337	Fam178b	1700024G10Rik|Gm990	family with sequence similarity 178, member B	protein-coding	0.003333	0.532446	
