PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_unbound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NR_036591	chr3	83573818	83574418	-	0	NA	promoter-TSS (NR_036591)	promoter-TSS (NR_036591)	0	NR_036591	69460		NR_036591	ENSMUSG00000101334	1700028M03Rik	-	RIKEN cDNA 1700028M03 gene	ncRNA	0.001667	0.424293	
NR_029567	chr6	29022319	29022919	+	0	NA	promoter-TSS (NR_029567)	promoter-TSS (NR_029567)	0	NR_029567	387237		NR_029567	ENSMUSG00000065469	Mir129-1	Mirn129-1|Mirn129b|miR-129b|mir-129-1	microRNA 129-1	ncRNA	0.016667	0.554077	
NM_001162865	chr4	51216378	51216978	+	0	NA	promoter-TSS (NM_001162865)	promoter-TSS (NM_001162865)	0	NM_001162865	74914		NM_001162865	ENSMUSG00000039555	Cylc2	4930488P18Rik	cylicin, basic protein of sperm head cytoskeleton 2	protein-coding	0.001667	0.316140	
NM_001166210	chr16	49057100	49057700	+	0	NA	promoter-TSS (NM_001166210)	promoter-TSS (NM_001166210)	0	NM_001166210	667772		NM_001166210	ENSMUSG00000092009	Myh15	EG667772	myosin, heavy chain 15	protein-coding	0.003333	0.371048	
NM_027668	chr15	60016318	60016918	-	0	NA	promoter-TSS (NM_027668)	promoter-TSS (NM_027668)	0	NM_027668	71088		NM_027668	ENSMUSG00000071749	4933412E24Rik	-	RIKEN cDNA 4933412E24 gene	protein-coding	0.021667	0.477537	
NM_001081476	chrX	70545258	70545858	+	0	NA	promoter-TSS (NM_001081476)	promoter-TSS (NM_001081476)	0	NM_001081476	628053		NM_001081476	ENSMUSG00000082652	Gm14725	-	predicted gene 14725	protein-coding	0.008333	0.460899	
NM_023146	chr11	33513453	33514053	-	0	NA	promoter-TSS (NR_110973)	promoter-TSS (NR_110973)	0	NM_023146	66011		NM_023146	ENSMUSG00000040594	Ranbp17	-	RAN binding protein 17	protein-coding	0.108333	0.690516	-9(TCCCGC,+,0.00),50(TCCCGC,+,0.00)
NM_001033904	chr1	21368031	21368631	+	0	NA	promoter-TSS (NM_001033904)	promoter-TSS (NM_001033904)	0	NM_001033904	433278		NM_001033904	ENSMUSG00000041722	Khdc1c	Khdc1b	KH domain containing 1C	protein-coding	0.005000	0.475874	
NM_028222	chr14	46760241	46760841	+	0	NA	promoter-TSS (NM_001360041)	promoter-TSS (NM_001360041)	0	NM_028222	72391		NM_028222	ENSMUSG00000037628	Cdkn3	2410006H10Rik|KAP	cyclin dependent kinase inhibitor 3	protein-coding	0.090000	0.630616	
NM_001034880	chr14	34040778	34041378	+	0	NA	promoter-TSS (NM_001034880)	promoter-TSS (NM_001034880)	0	NM_001034880	432838		NM_001034880	ENSMUSG00000072624	Gm5460	EG432838	predicted gene 5460	protein-coding	0.008333	0.460899	
NM_001031811	chr17	52602409	52603009	+	0	NA	promoter-TSS (NR_155517)	promoter-TSS (NR_155517)	0	NM_001031811	211468		NM_001031811	ENSMUSG00000035580	Kcnh8	C130090D05Rik|ELK|ELK1|ELK3|Kv12.1	potassium voltage-gated channel, subfamily H (eag-related), member 8	protein-coding	0.063333	0.597338	
NM_027951	chr17	25471290	25471890	+	0	NA	promoter-TSS (NM_027951)	promoter-TSS (NM_027951)	0	NM_027951	71840		NM_027951	ENSMUSG00000024175	Tekt4	1700010L19Rik	tektin 4	protein-coding	0.028333	0.545757	
NM_001002894	chr7	107166690	107167290	+	0	NA	promoter-TSS (NM_001002894)	promoter-TSS (NM_001002894)	0	NM_001002894	76858		NM_001002894	ENSMUSG00000016626	Nlrp14	4921520L01Rik|GC-LRR|Nalp-iota|Nalp14|Nalp14l	NLR family, pyrin domain containing 14	protein-coding	0.020000	0.482529	256(GCGGGA,-,0.00)
NM_015789	chr7	45211583	45212183	-	0	NA	promoter-TSS (NM_015789)	promoter-TSS (NM_015789)	0	NM_015789	50722		NM_015789	ENSMUSG00000030792	Dkkl1	SGY|SGY-1|SGY1|Soggy|mSgy	dickkopf-like 1	protein-coding	0.051667	0.552413	
NM_008574	chr3	92588773	92589373	-	0	NA	promoter-TSS (NM_008574)	promoter-TSS (NM_008574)	0	NM_008574	17235		NM_008574	ENSMUSG00000074435	Smcp	Mcs|Mcsp	sperm mitochondria-associated cysteine-rich protein	protein-coding	0.001667	0.402662	
NR_029725	chr13	48537972	48538572	-	0	NA	promoter-TSS (NR_029731)	promoter-TSS (NR_029731)	0	NR_029725	387244		NR_029725	ENSMUSG00000065421	Mirlet7a-1	Let-7a|Mirnlet7a|Mirnlet7a-1|let-7a-1	microRNA let7a-1	ncRNA	0.003333	0.349418	
NM_028547	chr11	91577255	91577855	-	0	NA	promoter-TSS (NM_028547)	promoter-TSS (NM_028547)	0	NM_028547	73470		NM_028547	ENSMUSG00000046755	Kif2b	1700063D03Rik	kinesin family member 2B	protein-coding	0.031667	0.540765	
NM_029181	chrX	55226576	55227176	+	0	NA	promoter-TSS (NM_029181)	promoter-TSS (NM_029181)	0	NM_029181	75140		NM_029181	ENSMUSG00000067909	Slxl1	4930527E24Rik	Slx-like 1	protein-coding	0.013333	0.462562	
NM_001081046	chr11	105091919	105092519	+	0	NA	promoter-TSS (NM_001081046)	promoter-TSS (NM_001081046)	0	NM_001081046	70894		NM_001081046	ENSMUSG00000020690	Efcab3	4921510J17Rik|Efcab13|Efcab15|Gm11639|Gm19	EF-hand calcium binding domain 3	protein-coding	0.018333	0.427621	
NM_028849	chr7	43440516	43441116	+	0	NA	promoter-TSS (NM_028849)	promoter-TSS (NM_028849)	0	NM_028849	74276		NM_028849	ENSMUSG00000038973	Cldnd2	1700071E18Rik	claudin domain containing 2	protein-coding	0.010000	0.512479	
NM_027612	chr4	103290563	103291163	-	0	NA	promoter-TSS (NM_001163494)	promoter-TSS (NM_001163494)	0	NM_027612	70941		NM_027612	ENSMUSG00000028520	4921539E11Rik	-	RIKEN cDNA 4921539E11 gene	protein-coding	0.010000	0.462562	
NM_007473	chr4	41047836	41048436	-	0	NA	promoter-TSS (NM_007473)	promoter-TSS (NM_007473)	0	NM_007473	11832		NM_007473	ENSMUSG00000028427	Aqp7	AQP7L|AQPap	aquaporin 7	protein-coding	0.010000	0.537438	
NM_001193631	chr14	64093396	64093996	+	0	NA	promoter-TSS (NM_001193631)	promoter-TSS (NM_001193631)	0	NM_001193631	100504162		NM_001193631	ENSMUSG00000052099	Prss51	1700007N14Rik	serine protease 51	protein-coding	0.001667	0.500832	
NM_027031	chr11	32527274	32527874	-	0	NA	promoter-TSS (NM_027031)	promoter-TSS (NM_027031)	0	NM_027031	69306		NM_027031	ENSMUSG00000044056	Efcab9	1700007I06Rik|4930403C08Rik	EF-hand calcium binding domain 9	protein-coding	0.010000	0.495840	
NM_148958	chr9	114978185	114978785	+	0	NA	promoter-TSS (NM_148958)	promoter-TSS (NM_148958)	0	NM_148958	74486		NM_148958	ENSMUSG00000040875	Osbpl10	4933433D06Rik|C820004B04Rik|OPR-10|ORP-10	oxysterol binding protein-like 10	protein-coding	0.093333	0.722130	-55(GCGGGA,-,0.00)
NM_175223	chr4	125065357	125065957	-	0	NA	promoter-TSS (NM_175223)	promoter-TSS (NM_175223)	0	NM_175223	75563		NM_175223	ENSMUSG00000042707	Dnali1	1700023A09Rik	dynein, axonemal, light intermediate polypeptide 1	protein-coding	0.035000	0.525790	
NM_001126317	chrX	67695398	67695998	+	0	NA	promoter-TSS (NM_001126317)	promoter-TSS (NM_001126317)	0	NM_001126317	382217		NM_001126317	ENSMUSG00000079578	Gm1140	-	predicted gene 1140	protein-coding	0.018333	0.509151	
NM_173069	chr16	69863444	69864044	-	0	NA	promoter-TSS (NM_173069)	promoter-TSS (NM_173069)	0	NM_173069	224318		NM_173069	ENSMUSG00000063163	Speer2	SPEER-2	spermatogenesis associated glutamate (E)-rich protein 2	protein-coding	0.011667	0.519135	
NR_029718	chr15	68340989	68341589	-	0	NA	promoter-TSS (NR_029718)	promoter-TSS (NR_029718)	0	NR_029718	387228		NR_029718	ENSMUSG00000065437	Mir30d	Mirn30d|mir-30d|mmu-mir-30d	microRNA 30d	ncRNA	0.010000	0.392679	
NM_026298	chr5	31290814	31291414	-	0	NA	promoter-TSS (NM_026298)	promoter-TSS (NM_026298)	0	NM_026298	67661		NM_026298	ENSMUSG00000038564	Ift172	4930553F24Rik|Slb|avc1|wim	intraflagellar transport 172	protein-coding	0.065000	0.524126	
NM_170777	chr9	22115010	22115610	-	0	NA	promoter-TSS (NM_170777)	promoter-TSS (NM_170777)	0	NM_170777	66126		NM_170777	ENSMUSG00000013822	Elof1	1110011K10Rik	ELF1 homolog, elongation factor 1	protein-coding	0.013333	0.430948	
NM_134002	chr10	80622480	80623080	+	0	NA	promoter-TSS (NM_134002)	promoter-TSS (NM_134002)	0	NM_134002	103236		NM_134002	ENSMUSG00000003345	Csnk1g2	2810429I12Rik	casein kinase 1, gamma 2	protein-coding	0.153333	0.728785	55(GCGGGA,-,0.00)
NR_029544	chr2	84740878	84741478	-	0	NA	promoter-TSS (NR_029544)	promoter-TSS (NR_029544)	0	NR_029544	387149		NR_029544	ENSMUSG00000065484	Mir130a	Mirn130|Mirn130a|mir-130a	microRNA 130a	ncRNA	0.020000	0.529118	
NM_001114400	chrX	148663304	148663904	+	0	NA	promoter-TSS (NM_001114400)	promoter-TSS (NM_001114400)	0	NM_001114400	434866		NM_001114400	ENSMUSG00000096834	Gm15127	-	predicted gene 15127	protein-coding	0.020000	0.529118	
NM_177076	chr5	21645305	21645905	-	0	NA	promoter-TSS (NM_026034)	promoter-TSS (NM_026034)	0	NM_177076	320118		NM_177076	ENSMUSG00000048520	Fbxl13	4921539K22Rik	F-box and leucine-rich repeat protein 13	protein-coding	0.051667	0.592346	
NM_198668	chr6	91903933	91904533	+	0	NA	promoter-TSS (NM_198668)	promoter-TSS (NM_198668)	0	NM_198668	381798		NM_198668	ENSMUSG00000034063	4930590J08Rik	Gm1071	RIKEN cDNA 4930590J08 gene	protein-coding	0.010000	0.459235	
NM_173409	chr7	131145983	131146583	-	0	NA	promoter-TSS (NR_040531)	promoter-TSS (NR_040531)	0	NM_173409	233918		NM_173409	ENSMUSG00000013668	4933402N03Rik	4930412O05	RIKEN cDNA 4933402N03 gene	protein-coding	0.005000	0.487521	
NM_029232	chr2	113285432	113286032	+	0	NA	promoter-TSS (NM_029232)	promoter-TSS (NM_029232)	0	NM_029232	75275		NM_029232	ENSMUSG00000041255	Tmco5b	4930563P21Rik	transmembrane and coiled-coil domains 5B	protein-coding	0.005000	0.412646	
NM_010666	chr11	99350818	99351418	-	0	NA	promoter-TSS (NM_010666)	promoter-TSS (NM_010666)	0	NM_010666	16675		NM_010666	ENSMUSG00000017588	Krt27	CK-27|Krt1-c29|mIRSa3.1|stpm	keratin 27	protein-coding	0.040000	0.532446	102(GCGGGA,-,0.00)
NM_027974	chr1	20951326	20951926	+	0	NA	promoter-TSS (NM_027974)	promoter-TSS (NM_027974)	0	NM_027974	71877		NM_027974	ENSMUSG00000041809	Efhc1	1700029F22Rik|mRib72-1|myoclonin1	EF-hand domain (C-terminal) containing 1	protein-coding	0.058333	0.628952	
NM_009611	chr4	56743122	56743722	+	0	NA	promoter-TSS (NM_009611)	promoter-TSS (NM_009611)	0	NM_009611	11470		NM_009611	ENSMUSG00000070979	Actl7a	Tact2	actin-like 7a	protein-coding	0.013333	0.500832	
NM_028957	chr6	24857697	24858297	+	0	NA	promoter-TSS (NM_028957)	promoter-TSS (NM_028957)	0	NM_028957	74468		NM_028957	ENSMUSG00000029678	Hyal5	4933439A12Rik	hyaluronoglucosaminidase 5	protein-coding	0.000000	0.366057	
NM_027413	chr7	67644936	67645536	-	0	NA	promoter-TSS (NR_028144)	promoter-TSS (NR_028144)	0	NM_027413	67867		NM_027413	ENSMUSG00000030556	Lrrc28	1300004K21Rik|2210012C09Rik|2310058O11Rik	leucine rich repeat containing 28	protein-coding	0.071667	0.620632	-143(TCCCGC,+,0.00)
NM_029305	chr2	154548604	154549204	+	0	NA	promoter-TSS (NM_029305)	promoter-TSS (NM_029305)	0	NM_029305	75480		NM_029305	ENSMUSG00000038523	1700003F12Rik	-	RIKEN cDNA 1700003F12 gene	protein-coding	0.006667	0.530782	
NM_029112	chr5	123046716	123047316	-	0	NA	promoter-TSS (NM_029112)	promoter-TSS (NM_029112)	0	NM_029112	74890		NM_029112	ENSMUSG00000029477	Morn3	4930438O03Rik	MORN repeat containing 3	protein-coding	0.015000	0.550749	
NM_175939	chr8	55906664	55907264	-	0	NA	promoter-TSS (NM_175939)	promoter-TSS (NM_175939)	0	NM_175939	244486		NM_175939	ENSMUSG00000046258	Adam29	-	a disintegrin and metallopeptidase domain 29	protein-coding	0.001667	0.319468	
NM_028886	chr6	34029148	34029748	+	0	NA	promoter-TSS (NM_028886)	promoter-TSS (NM_028886)	0	NM_028886	74354		NM_028886	ENSMUSG00000056215	Lrguk	4921528H16Rik	leucine-rich repeats and guanylate kinase domain containing	protein-coding	0.043333	0.514143	
NM_172535	chr6	24514767	24515367	-	0	NA	promoter-TSS (NM_172535)	promoter-TSS (NM_172535)	0	NM_172535	214704		NM_172535	ENSMUSG00000046192	Iqub	4932408B21Rik|Trs4	IQ motif and ubiquitin domain containing	protein-coding	0.018333	0.494176	
NM_001025380	chr8	40822709	40823309	+	0	NA	promoter-TSS (NM_001025380)	promoter-TSS (NM_001025380)	0	NM_001025380	546055		NM_001025380	ENSMUSG00000054033	Adam39	1700056P18Rik	a disintegrin and metallopeptidase domain 39	protein-coding	0.000000	0.352745	
NR_015496	chr15	98398145	98398745	+	0	NA	promoter-TSS (NR_015496)	promoter-TSS (NR_015496)	0	NR_015496	73302		NR_015496	ENSMUSG00000121873	1700031M16Rik	4930413L20Rik	RIKEN cDNA 1700031M16 gene	ncRNA	0.020000	0.505824	
NM_027306	chr15	88600002	88600602	+	0	NA	promoter-TSS (NM_027306)	promoter-TSS (NM_027306)	0	NM_027306	70073		NM_027306	ENSMUSG00000054117	Zdhhc25	1700030J15Rik	zinc finger, DHHC domain containing 25	protein-coding	0.025000	0.570715	
NM_027032	chr17	10839891	10840491	-	0	NA	promoter-TSS (NM_016694)	promoter-TSS (NM_016694)	0	NM_027032	69310		NM_027032	ENSMUSG00000037196	Pacrg	1700008H23Rik	PARK2 co-regulated	protein-coding	0.063333	0.582363	-19(GCGGGA,-,0.00),81(TCCCGC,+,0.00)
