"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",13589476,13589892,417,"*","epilc_kdm5c_wt_.merged.bam_peak_16",111,".",4.09035,14.7406,11.1675,171,"Promoter",1,13578118,13589875,11758,2,"72265","ENSMUST00000188377.1",0,"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1"
"chr1",13660141,13660815,675,"*","epilc_kdm5c_wt_.merged.bam_peak_18",246,".",5.5875,28.7253,24.6928,320,"Promoter",1,13623330,13660546,37217,2,"212442","ENSMUST00000027071.6",0,"ENSMUSG00000025937","Lactb2","lactamase, beta 2"
"chr1",14755109,14755407,299,"*","epilc_kdm5c_wt_.merged.bam_peak_21",85,".",4.67573,12.0263,8.58189,170,"Promoter",1,14753746,14755353,1608,2,"17681","ENSMUST00000190719.1",0,"ENSMUSG00000025930","Msc","musculin"
"chr1",16092766,16093101,336,"*","epilc_kdm5c_wt_.merged.bam_peak_22",59,".",3.58523,9.24285,5.94899,108,"Promoter",1,16065979,16093325,27347,2,"75799","ENSMUST00000145070.7",224,"ENSMUSG00000067795","4930444P10Rik","RIKEN cDNA 4930444P10 gene"
"chr1",16105528,16105878,351,"*","epilc_kdm5c_wt_.merged.bam_peak_23",53,".",3.18823,8.61497,5.36206,130,"Promoter",1,16105774,16133734,27961,1,"98711","ENSMUST00000027053.7",0,"ENSMUSG00000025921","Rdh10","retinol dehydrogenase 10 (all-trans)"
"chr1",16664945,16665625,681,"*","epilc_kdm5c_wt_.merged.bam_peak_24",318,".",7.3228,36.0207,31.8221,428,"Promoter",1,16665207,16678195,12989,1,"70397","ENSMUST00000177501.1",0,"ENSMUSG00000025940","Tmem70","transmembrane protein 70"
"chr1",17096935,17098086,1152,"*","epilc_kdm5c_wt_.merged.bam_peak_26",311,".",7.15413,35.3698,31.1833,597,"Promoter",1,16994938,17097889,102952,2,"57339","ENSMUST00000038382.4",0,"ENSMUSG00000042686","Jph1","junctophilin 1"
"chr1",20819984,20820388,405,"*","epilc_kdm5c_wt_.merged.bam_peak_27",99,".",4.31071,13.4786,9.96136,153,"Promoter",1,20802968,20820312,17345,2,"17215","ENSMUST00000053266.10",0,"ENSMUSG00000041859","Mcm3","minichromosome maintenance complex component 3"
"chr1",21960891,21961483,593,"*","epilc_kdm5c_wt_.merged.bam_peak_28",223,".",7.00706,26.2836,22.316,238,"Promoter",1,21398403,21961581,563179,2,"226922","ENSMUST00000029667.12",98,"ENSMUSG00000028033","Kcnq5","potassium voltage-gated channel, subfamily Q, member 5"
"chr1",23921495,23922687,1193,"*","epilc_kdm5c_wt_.merged.bam_peak_33",483,".",10.8833,52.8736,48.3403,992,"Promoter",1,23845625,23922317,76693,2,"98366","ENSMUST00000027339.13",0,"ENSMUSG00000026155","Smap1","small ArfGAP 1"
"chr1",24099759,24100120,362,"*","epilc_kdm5c_wt_.merged.bam_peak_34",70,".",3.36726,10.3645,7.00754,143,"Promoter",1,24011591,24100182,88592,2,"68187","ENSMUST00000187369.6",62,"ENSMUSG00000026153","Fam135a","family with sequence similarity 135, member A"
"chr1",25829860,25830203,344,"*","epilc_kdm5c_wt_.merged.bam_peak_36",73,".",4.67087,10.7084,7.33098,166,"Promoter",1,25067550,25829707,762158,2,"210933","ENSMUST00000151309.7",-153,"ENSMUSG00000033569","Adgrb3","adhesion G protein-coupled receptor B3"
"chr1",32172704,32173055,352,"*","epilc_kdm5c_wt_.merged.bam_peak_37",90,".",4.30878,12.5646,9.09217,187,"Promoter",1,32172714,32658568,485855,1,"170771","ENSMUST00000027226.11",0,"ENSMUSG00000026058","Khdrbs2","KH domain containing, RNA binding, signal transduction associated 2"
"chr1",33669770,33670454,685,"*","epilc_kdm5c_wt_.merged.bam_peak_38",95,".",4.17932,13.0401,9.54411,236,"Promoter",1,33453810,33669795,215986,2,"19076","ENSMUST00000027312.10",0,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit"
"chr1",33719556,33720323,768,"*","epilc_kdm5c_wt_.merged.bam_peak_39",81,".",3.68639,11.5738,8.14917,499,"Promoter",1,33719887,33723837,3951,1,"19335","ENSMUST00000195006.5",0,"ENSMUSG00000004768","Rab23","RAB23, member RAS oncogene family"
"chr1",33757244,33757885,642,"*","epilc_kdm5c_wt_.merged.bam_peak_40",70,".",3.31478,10.3804,7.02063,531,"Promoter",1,33745484,33757795,12312,2,"213539","ENSMUST00000044691.8",0,"ENSMUSG00000042215","Bag2","BCL2-associated athanogene 2"
"chr1",33814059,33814938,880,"*","epilc_kdm5c_wt_.merged.bam_peak_41",375,".",7.92458,41.8922,37.5647,574,"Promoter",1,33761545,33814385,52841,2,"98403","ENSMUST00000139143.7",0,"ENSMUSG00000042197","Zfp451","zinc finger protein 451"
"chr1",34459802,34460077,276,"*","epilc_kdm5c_wt_.merged.bam_peak_42",72,".",3.77245,10.5896,7.21632,89,"Promoter",1,34459792,34471916,12125,1,"19253","ENSMUST00000188884.2",10,"ENSMUSG00000026126","Ptpn18","protein tyrosine phosphatase, non-receptor type 18"
"chr1",34677931,34678235,305,"*","epilc_kdm5c_wt_.merged.bam_peak_44",48,".",3.04398,8.10024,4.88051,280,"Promoter",1,34678188,34812739,134552,1,"226970","ENSMUST00000159747.8",0,"ENSMUSG00000037509","Arhgef4","Rho guanine nucleotide exchange factor (GEF) 4"
"chr1",36067934,36068288,355,"*","epilc_kdm5c_wt_.merged.bam_peak_47",81,".",3.76518,11.604,8.17588,153,"Promoter",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",-112,"ENSMUSG00000045216","Hs6st1","heparan sulfate 6-O-sulfotransferase 1"
"chr1",36243927,36244358,432,"*","epilc_kdm5c_wt_.merged.bam_peak_49",133,".",3.9652,17.0006,13.3385,223,"Promoter",1,36140027,36244305,104279,2,"320011","ENSMUST00000046875.13",0,"ENSMUSG00000037470","Uggt1","UDP-glucose glycoprotein glucosyltransferase 1"
"chr1",36368757,36369217,461,"*","epilc_kdm5c_wt_.merged.bam_peak_52",17,".",2.09617,4.63656,1.73843,454,"Promoter",1,36335730,36369157,33428,2,"226976","ENSMUST00000185912.6",0,"ENSMUSG00000010453","Kansl3","KAT8 regulatory NSL complex subunit 3"
"chr1",36444903,36445234,332,"*","epilc_kdm5c_wt_.merged.bam_peak_53",75,".",3.6606,10.9767,7.5839,107,"Promoter",1,36422065,36445271,23207,2,"214895","ENSMUST00000125304.7",37,"ENSMUSG00000001143","Lman2l","lectin, mannose-binding 2-like"
"chr1",36546745,36547111,367,"*","epilc_kdm5c_wt_.merged.bam_peak_54",51,".",2.97508,8.41726,5.18199,198,"Promoter",1,36537507,36547219,9713,2,"109346","ENSMUST00000207843.1",108,"ENSMUSG00000079610","Ankrd39","ankyrin repeat domain 39"
"chr1",36682758,36683415,658,"*","epilc_kdm5c_wt_.merged.bam_peak_55",393,".",7.86422,43.7197,39.3554,410,"Promoter",1,36562692,36683183,120492,2,"381337","ENSMUST00000170295.7",0,"ENSMUSG00000046337","Fam178b","family with sequence similarity 178, member B"
"chr1",36691241,36691790,550,"*","epilc_kdm5c_wt_.merged.bam_peak_56",284,".",6.46262,32.5796,28.4558,261,"Promoter",1,36691449,36693386,1938,1,"12859","ENSMUST00000081180.6",0,"ENSMUSG00000061518","Cox5b","cytochrome c oxidase subunit 5B"
"chr1",36770798,36771246,449,"*","epilc_kdm5c_wt_.merged.bam_peak_57",118,".",4.28419,15.4978,11.8941,261,"Promoter",1,36770992,36772375,1384,1,"22637","ENSMUST00000186624.1",0,"ENSMUSG00000026117","Zap70","zeta-chain (TCR) associated protein kinase"
"chr1",37429742,37430245,504,"*","epilc_kdm5c_wt_.merged.bam_peak_59",46,".",2.60409,7.82909,4.63219,268,"Promoter",1,37430139,37438984,8846,1,"67387","ENSMUST00000114925.9",0,"ENSMUSG00000026111","Unc50","unc-50 homolog"
"chr1",38130042,38130363,322,"*","epilc_kdm5c_wt_.merged.bam_peak_60",47,".",2.76816,7.92795,4.72644,182,"Promoter",1,38107683,38129801,22119,2,"56210","ENSMUST00000195383.1",-241,"ENSMUSG00000026082","Rev1","REV1, DNA directed polymerase"
"chr1",38836263,38836901,639,"*","epilc_kdm5c_wt_.merged.bam_peak_61",232,".",7.15614,27.2095,23.2167,286,"Promoter",1,38793645,38836711,43067,2,"381338","ENSMUST00000147695.8",0,"ENSMUSG00000048814","Lonrf2","LON peptidase N-terminal domain and ring finger 2"
"chr1",38897535,38897824,290,"*","epilc_kdm5c_wt_.merged.bam_peak_62",53,".",3.36816,8.5658,5.32143,221,"Promoter",1,38890632,38897986,7355,2,"98388","ENSMUST00000192175.1",162,"ENSMUSG00000026080","Chst10","carbohydrate sulfotransferase 10"
"chr1",39477937,39478517,581,"*","epilc_kdm5c_wt_.merged.bam_peak_64",107,".",4.29248,14.3228,10.7693,329,"Promoter",1,39372296,39478661,106366,2,"54610","ENSMUST00000192531.5",144,"ENSMUSG00000003134","Tbc1d8","TBC1 domain family, member 8"
"chr1",39536030,39536449,420,"*","epilc_kdm5c_wt_.merged.bam_peak_65",49,".",3.39304,8.18988,4.96547,214,"Promoter",1,39535802,39546873,11072,1,"52846","ENSMUST00000003219.13",228,"ENSMUSG00000003135","Cnot11","CCR4-NOT transcription complex, subunit 11"
"chr1",42850880,42851468,589,"*","epilc_kdm5c_wt_.merged.bam_peak_67",143,".",4.99418,18.1045,14.3992,243,"Promoter",1,42851233,42905682,54450,1,"69527","ENSMUST00000057208.12",0,"ENSMUSG00000060679","Mrps9","mitochondrial ribosomal protein S9"
"chr1",43163974,43164320,347,"*","epilc_kdm5c_wt_.merged.bam_peak_68",114,".",5.0177,15.0054,11.4242,207,"Promoter",1,43123074,43163961,40888,2,"14200","ENSMUST00000008280.13",-13,"ENSMUSG00000008136","Fhl2","four and a half LIM domains 2"
"chr1",43827312,43827638,327,"*","epilc_kdm5c_wt_.merged.bam_peak_69",53,".",3.30191,8.57411,5.32673,236,"Promoter",1,43749512,43827741,78230,2,"67883","ENSMUST00000076997.12",103,"ENSMUSG00000057363","Uxs1","UDP-glucuronate decarboxylase 1"
"chr1",43933322,43933985,664,"*","epilc_kdm5c_wt_.merged.bam_peak_70",182,".",4.86879,22.1338,18.2913,354,"Promoter",1,43933647,43949405,15759,1,"22019","ENSMUST00000185579.6",0,"ENSMUSG00000041763","Tpp2","tripeptidyl peptidase II"
"chr1",44102087,44102691,605,"*","epilc_kdm5c_wt_.merged.bam_peak_71",92,".",3.73129,12.7663,9.28364,337,"Promoter",1,44086613,44102391,15779,2,"75623","ENSMUST00000027215.11",0,"ENSMUSG00000026049","Tex30","testis expressed 30"
"chr1",44147411,44148150,740,"*","epilc_kdm5c_wt_.merged.bam_peak_72",199,".",5.1874,23.8931,19.9946,282,"Promoter",1,44147847,44181260,33414,1,"22592","ENSMUST00000027214.3",0,"ENSMUSG00000026048","Ercc5","excision repair cross-complementing rodent repair deficiency, complementation group 5"
"chr1",46425524,46425825,302,"*","epilc_kdm5c_wt_.merged.bam_peak_73",37,".",3.09072,6.86889,3.74261,223,"Promoter",1,46425592,46807476,381885,1,"100101919","ENSMUST00000189749.6",0,"ENSMUSG00000101337","Dnah7c","dynein, axonemal, heavy chain 7C"
"chr1",46853915,46854228,314,"*","epilc_kdm5c_wt_.merged.bam_peak_75",55,".",3.29736,8.77804,5.5134,97,"Promoter",1,46807544,46854046,46503,2,"227059","ENSMUST00000027131.5",0,"ENSMUSG00000025986","Slc39a10","solute carrier family 39 (zinc transporter), member 10"
"chr1",50927290,50927904,615,"*","epilc_kdm5c_wt_.merged.bam_peak_76",118,".",4.80836,15.4101,11.8099,254,"Promoter",1,50927519,51187270,259752,1,"56363","ENSMUST00000081851.3",0,"ENSMUSG00000026109","Tmeff2","transmembrane protein with EGF-like and two follistatin-like domains 2"
"chr1",51477664,51478047,384,"*","epilc_kdm5c_wt_.merged.bam_peak_77",54,".",3.3305,8.66797,5.41105,193,"Promoter",1,51466007,51478067,12061,2,"109019","ENSMUST00000186003.6",20,"ENSMUSG00000026107","Nabp1","nucleic acid binding protein 1"
"chr1",52233435,52233758,324,"*","epilc_kdm5c_wt_.merged.bam_peak_79",94,".",4.07235,12.9617,9.46848,152,"Promoter",1,52184104,52233232,49129,2,"14660","ENSMUST00000114510.7",-203,"ENSMUSG00000026103","Gls","glutaminase"
"chr1",52630663,52630967,305,"*","epilc_kdm5c_wt_.merged.bam_peak_80",46,".",2.81916,7.79676,4.60126,134,"Promoter",1,52630703,52651919,21217,1,"227094","ENSMUST00000165859.7",0,"ENSMUSG00000043015","Nemp2","nuclear envelope integral membrane protein 2"
"chr1",52953020,52953433,414,"*","epilc_kdm5c_wt_.merged.bam_peak_81",132,".",4.48345,16.8871,13.228,221,"Promoter",1,52922324,52953350,31027,2,"67080","ENSMUST00000114492.7",0,"ENSMUSG00000043629","1700019D03Rik","RIKEN cDNA 1700019D03 gene"
"chr1",53296652,53297360,709,"*","epilc_kdm5c_wt_.merged.bam_peak_82",88,".",3.96229,12.2981,8.83437,541,"Promoter",1,53189187,53297018,107832,2,"227099","ENSMUST00000027267.13",0,"ENSMUSG00000026098","Pms1","PMS1 homolog 1, mismatch repair system component"
"chr1",53784782,53785239,458,"*","epilc_kdm5c_wt_.merged.bam_peak_83",81,".",3.68639,11.5738,8.14917,237,"Promoter",1,53755506,53785224,29719,2,"98267","ENSMUST00000027263.13",0,"ENSMUSG00000026094","Stk17b","serine/threonine kinase 17b (apoptosis-inducing)"
"chr1",54194777,54195094,318,"*","epilc_kdm5c_wt_.merged.bam_peak_84",77,".",3.93391,11.1063,7.70383,123,"Promoter",1,53806882,54195034,388153,2,"329152","ENSMUST00000087659.10",0,"ENSMUSG00000042807","Hecw2","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
"chr1",54557252,54557704,453,"*","epilc_kdm5c_wt_.merged.bam_peak_85",111,".",4.09035,14.7406,11.1675,204,"Promoter",1,54472994,54557682,84689,2,"241062","ENSMUST00000097739.4",0,"ENSMUSG00000073678","Pgap1","post-GPI attachment to proteins 1"
"chr1",55087384,55087856,473,"*","epilc_kdm5c_wt_.merged.bam_peak_86",114,".",3.82408,14.9873,11.4066,261,"Promoter",1,55077835,55088024,10190,2,"15510","ENSMUST00000027123.14",168,"ENSMUSG00000025980","Hspd1","heat shock protein 1 (chaperonin)"
"chr1",55236985,55237952,968,"*","epilc_kdm5c_wt_.merged.bam_peak_89",1498,".",17.5353,155.939,149.855,335,"Promoter",1,55237177,55248470,11294,1,"212679","ENSMUST00000061334.9",0,"ENSMUSG00000046994","Mars2","methionine-tRNA synthetase 2 (mitochondrial)"
"chr1",55362323,55363893,1571,"*","epilc_kdm5c_wt_.merged.bam_peak_90",865,".",12.6552,91.7575,86.5434,544,"Promoter",1,55300069,55362726,62658,2,"75388","ENSMUST00000114423.6",0,"ENSMUSG00000025977","Boll","boule homolog, RNA binding protein"
"chr1",55405887,55406652,766,"*","epilc_kdm5c_wt_.merged.bam_peak_91",135,".",4.73273,17.1732,13.5032,128,"Promoter",1,55405921,55754285,348365,1,"227120","ENSMUST00000042986.9",0,"ENSMUSG00000038349","Plcl1","phospholipase C-like 1"
"chr1",56972026,56972303,278,"*","epilc_kdm5c_wt_.merged.bam_peak_92",82,".",3.85223,11.6462,8.21532,244,"Promoter",1,56972332,56975193,2862,1,"329160","ENSMUST00000195462.1",-29,"ENSMUSG00000087022","9130024F11Rik","RIKEN cDNA 9130024F11 gene"
"chr1",56972643,56973408,766,"*","epilc_kdm5c_wt_.merged.bam_peak_93",242,".",7.68018,28.253,24.2325,557,"Promoter",1,56793981,56972502,178522,2,"212712","ENSMUST00000042857.13",-141,"ENSMUSG00000038331","Satb2","special AT-rich sequence binding protein 2"
"chr1",57377244,57377564,321,"*","epilc_kdm5c_wt_.merged.bam_peak_94",43,".",3.30528,7.48794,4.31333,200,"Promoter",1,57359222,57377544,18323,2,"75323","ENSMUST00000181949.2",0,"ENSMUSG00000097519","4930558J18Rik","RIKEN cDNA 4930558J18 gene"
"chr1",57406411,57406792,382,"*","epilc_kdm5c_wt_.merged.bam_peak_95",81,".",3.76518,11.604,8.17588,121,"Promoter",1,57388240,57406471,18232,2,"68736","ENSMUST00000097732.10",0,"ENSMUSG00000048495","Tyw5","tRNA-yW synthesizing protein 5"
"chr1",57995955,57996318,364,"*","epilc_kdm5c_wt_.merged.bam_peak_96",158,".",5.22415,19.6341,15.8743,165,"Promoter",1,57995971,58025899,29929,1,"68549","ENSMUST00000027202.8",0,"ENSMUSG00000026039","Sgo2a","shugoshin 2A"
"chr1",59670734,59671017,284,"*","epilc_kdm5c_wt_.merged.bam_peak_98",20,".",2.34517,4.94239,2.01037,36,"Promoter",1,59586558,59670792,84235,2,"22218","ENSMUST00000191158.6",0,"ENSMUSG00000026021","Sumo1","small ubiquitin-like modifier 1"
"chr1",59684887,59685312,426,"*","epilc_kdm5c_wt_.merged.bam_peak_99",245,".",5.73344,28.594,24.5635,176,"Promoter",1,59684971,59692666,7696,1,"55989","ENSMUST00000191088.6",0,"ENSMUSG00000026020","Nop58","NOP58 ribonucleoprotein"
"chr1",59762749,59763240,492,"*","epilc_kdm5c_wt_.merged.bam_peak_100",67,".",3.36003,10.1118,6.76858,352,"Promoter",1,59763400,59879014,115615,1,"12168","ENSMUST00000087435.6",-160,"ENSMUSG00000067336","Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"chr1",60098184,60098525,342,"*","epilc_kdm5c_wt_.merged.bam_peak_102",39,".",2.82122,7.10882,3.96283,201,"Promoter",1,60098247,60151032,52786,1,"241066","ENSMUST00000130075.7",0,"ENSMUSG00000026017","Carf","calcium response factor"
"chr1",60343229,60343697,469,"*","epilc_kdm5c_wt_.merged.bam_peak_103",290,".",6.10618,33.1755,29.0375,231,"Promoter",1,60343323,60372707,29385,1,"77951","ENSMUST00000114202.7",0,"ENSMUSG00000049439","Cyp20a1","cytochrome P450, family 20, subfamily a, polypeptide 1"
"chr1",60566364,60566667,304,"*","epilc_kdm5c_wt_.merged.bam_peak_104",55,".",3.69394,8.81515,5.5494,101,"Promoter",1,60483236,60566765,83530,2,"77300","ENSMUST00000027168.11",98,"ENSMUSG00000026014","Raph1","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"chr1",61638492,61639551,1060,"*","epilc_kdm5c_wt_.merged.bam_peak_105",252,".",8.4396,29.2653,25.2177,846,"Promoter",1,61638824,62078259,439436,1,"72823","ENSMUST00000138768.7",0,"ENSMUSG00000052062","Pard3b","par-3 family cell polarity regulator beta"
"chr1",63273033,63273356,324,"*","epilc_kdm5c_wt_.merged.bam_peak_108",81,".",3.38299,11.5584,8.13553,98,"Promoter",1,63273265,63314576,41312,1,"73884","ENSMUST00000114132.7",0,"ENSMUSG00000027520","Zdbf2","zinc finger, DBF-type containing 2"
"chr1",63730516,63730832,317,"*","epilc_kdm5c_wt_.merged.bam_peak_109",51,".",3.31614,8.40032,5.16519,77,"Promoter",1,63730614,63754655,24042,1,"75619","ENSMUST00000027103.6",0,"ENSMUSG00000025962","Fastkd2","FAST kinase domains 2"
"chr1",64122087,64122697,611,"*","epilc_kdm5c_wt_.merged.bam_peak_110",42,".",2.71514,7.37463,4.21224,118,"Promoter",1,64079103,64122282,43180,2,"93691","ENSMUST00000135075.1",0,"ENSMUSG00000025959","Klf7","Kruppel-like factor 7 (ubiquitous)"
"chr1",64531958,64532669,712,"*","epilc_kdm5c_wt_.merged.bam_peak_112",152,".",4.7724,19.0022,15.2659,491,"Promoter",1,64532645,64597695,65051,1,"12912","ENSMUST00000185594.6",0,"ENSMUSG00000025958","Creb1","cAMP responsive element binding protein 1"
"chr1",64617301,64617817,517,"*","epilc_kdm5c_wt_.merged.bam_peak_113",173,".",5.3288,21.1262,17.3158,299,"Promoter",1,64606473,64617242,10770,2,"67099","ENSMUST00000114079.8",-59,"ENSMUSG00000025956","Mettl21a","methyltransferase like 21A"
"chr1",65186225,65186558,334,"*","epilc_kdm5c_wt_.merged.bam_peak_115",59,".",3.35685,9.20261,5.91295,128,"Promoter",1,65158618,65186479,27862,2,"15926","ENSMUST00000169032.7",0,"ENSMUSG00000025950","Idh1","isocitrate dehydrogenase 1 (NADP+), soluble"
"chr1",66700882,66701283,402,"*","epilc_kdm5c_wt_.merged.bam_peak_116",54,".",3.05309,8.72221,5.46042,219,"Promoter",1,66700907,66718019,17113,1,"66646","ENSMUST00000190404.1",0,"ENSMUSG00000026005","Rpe","ribulose-5-phosphate-3-epimerase"
"chr1",69826907,69827238,332,"*","epilc_kdm5c_wt_.merged.bam_peak_118",145,".",5.38186,18.2966,14.5853,144,"Promoter",1,69826970,70267277,440308,1,"66722","ENSMUST00000187159.6",0,"ENSMUSG00000053153","Spag16","sperm associated antigen 16"
"chr1",71102537,71102978,442,"*","epilc_kdm5c_wt_.merged.bam_peak_120",48,".",3.04398,8.10024,4.88051,139,"Promoter",1,71027498,71103146,75649,2,"12021","ENSMUST00000027393.7",168,"ENSMUSG00000026196","Bard1","BRCA1 associated RING domain 1"
"chr1",71557098,71557647,550,"*","epilc_kdm5c_wt_.merged.bam_peak_121",634,".",10.1413,68.2602,63.4495,236,"Promoter",1,71557150,71579631,22482,1,"108147","ENSMUST00000027384.5",0,"ENSMUSG00000026192","Atic","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
"chr1",72710819,72711506,688,"*","epilc_kdm5c_wt_.merged.bam_peak_124",291,".",5.87996,33.3394,29.1972,232,"Promoter",1,72711290,72713813,2524,1,"19981","ENSMUST00000059980.10",0,"ENSMUSG00000046330","Rpl37a","ribosomal protein L37a"
"chr1",72824553,72825055,503,"*","epilc_kdm5c_wt_.merged.bam_peak_125",81,".",3.61473,11.5542,8.13242,311,"Promoter",1,72824503,72852474,27972,1,"16008","ENSMUST00000047328.10",50,"ENSMUSG00000039323","Igfbp2","insulin-like growth factor binding protein 2"
"chr1",74236210,74236511,302,"*","epilc_kdm5c_wt_.merged.bam_peak_126",64,".",3.22755,9.81627,6.48759,160,"Promoter",1,74236497,74268209,31713,1,"76709","ENSMUST00000113820.8",0,"ENSMUSG00000006304","Arpc2","actin related protein 2/3 complex, subunit 2"
"chr1",74332332,74332847,516,"*","epilc_kdm5c_wt_.merged.bam_peak_127",65,".",3.18273,9.84628,6.51584,247,"Promoter",1,74332610,74353686,21077,1,"56695","ENSMUST00000087225.5",0,"ENSMUSG00000026179","Pnkd","paroxysmal nonkinesiogenic dyskinesia"
"chr1",74392031,74392608,578,"*","epilc_kdm5c_wt_.merged.bam_peak_129",259,".",6.49375,30.0357,25.9702,175,"Promoter",1,74392162,74394069,1908,1,"227292","ENSMUST00000152659.1",0,"ENSMUSG00000026176","Ctdsp1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1"
"chr1",74505938,74506800,863,"*","epilc_kdm5c_wt_.merged.bam_peak_130",273,".",5.44029,31.4799,27.3802,187,"Promoter",1,74499956,74506283,6328,2,"319651","ENSMUST00000187590.1",0,"ENSMUSG00000033364","Usp37","ubiquitin specific peptidase 37"
"chr1",74950984,74951367,384,"*","epilc_kdm5c_wt_.merged.bam_peak_132",61,".",3.83601,9.46989,6.16337,251,"Promoter",1,74947724,74951442,3719,2,"16147","ENSMUST00000189364.1",75,"ENSMUSG00000006538","Ihh","Indian hedgehog"
"chr1",75141491,75141935,445,"*","epilc_kdm5c_wt_.merged.bam_peak_134",70,".",3.31478,10.3804,7.02063,131,"Promoter",1,75135768,75141691,5924,2,"69171","ENSMUST00000190679.6",0,"ENSMUSG00000033159","Cnppd1","cyclin Pas1/PHO80 domain containing 1"
"chr1",75142326,75143153,828,"*","epilc_kdm5c_wt_.merged.bam_peak_135",1007,".",10.8957,106.208,100.751,321,"Promoter",1,75142778,75147909,5132,1,"227298","ENSMUST00000188873.6",0,"ENSMUSG00000049339","Retreg2","reticulophagy regulator family member 2"
"chr1",75360291,75360733,443,"*","epilc_kdm5c_wt_.merged.bam_peak_136",106,".",4.18354,14.2272,10.6767,171,"Promoter",1,75360329,75368579,8251,1,"13346","ENSMUST00000027409.9",0,"ENSMUSG00000026208","Des","desmin"
"chr1",75375098,75375484,387,"*","epilc_kdm5c_wt_.merged.bam_peak_137",33,".",2.7897,6.48086,3.38534,267,"Promoter",1,75375297,75432320,57024,1,"11790","ENSMUST00000087122.11",0,"ENSMUSG00000026207","Speg","SPEG complex locus"
