"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",90598489,90599202,714,"*","Promoter",1,90594801,90598766,3966,2,"320982","uc007byt.1",0,"ENSMUSG00000049866","Arl4c","ADP-ribosylation factor-like 4C"
"chr1",93308734,93309836,1103,"*","Promoter",1,93308060,93309799,1740,2,"55927","uc007cau.1",0,"ENSMUSG00000067071","Hes6","hairy and enhancer of split 6"
"chr1",93698357,93698884,528,"*","Promoter",1,93698054,93744604,46551,1,"13345","uc007cbd.1",303,"ENSMUSG00000007805","Twist2","twist basic helix-loop-helix transcription factor 2"
"chr1",95721816,95722197,382,"*","Promoter",1,95721817,95748751,26935,1,"98314","uc007cep.2",0,"ENSMUSG00000073609","D2hgdh","D-2-hydroxyglutarate dehydrogenase"
"chr1",97564324,97564941,618,"*","Promoter",1,97554891,97564171,9281,2,"20452","uc007cfb.1",-153,"ENSMUSG00000040710","St8sia4","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
"chr1",113760741,113761511,771,"*","Promoter",1,113755279,113761495,6217,2,"319901","uc007chy.1",0,"ENSMUSG00000038702","Dsel","dermatan sulfate epimerase-like"
"chr1",121422471,121423377,907,"*","Promoter",1,121422744,121424803,2060,1,"226351","uc007ciu.1",0,"ENSMUSG00000098923","Tmem185b","transmembrane protein 185B"
"chr1",127808020,127808486,467,"*","Promoter",1,127768619,127807942,39324,2,"72585","uc007cki.1",-78,"ENSMUSG00000026344","Lypd1","Ly6/Plaur domain containing 1"
"chr1",130140924,130141354,431,"*","Promoter",1,130140758,130175954,35197,1,"67812","uc007cll.1",166,"ENSMUSG00000026353","Ubxn4","UBX domain protein 4"
"chr1",132359096,132359351,256,"*","Promoter",1,132335607,132359317,23711,2,"13136","uc007cly.1",0,"ENSMUSG00000026399","Cd55","CD55 molecule, decay accelerating factor for complement"
"chr1",132614062,132614514,453,"*","Promoter",1,132613904,132618634,4731,1,"226418","uc007cmh.2",158,"ENSMUSG00000046404","Yod1","YOD1 deubiquitinase"
"chr1",135260507,135260880,374,"*","Promoter",1,135260149,135276895,16747,1,"214253","uc007cqh.2",358,"ENSMUSG00000070644","Etnk2","ethanolamine kinase 2"
"chr1",137180018,137180862,845,"*","Promoter",1,137159276,137180661,21386,2,"215615","uc007csy.2",0,"ENSMUSG00000041926","Rnpep","arginyl aminopeptidase (aminopeptidase B)"
"chr1",137662668,137663362,695,"*","Promoter",1,137662662,137665711,3050,1,"27280","uc007ctq.2",6,"ENSMUSG00000041801","Phlda3","pleckstrin homology like domain, family A, member 3"
"chr1",138157101,138157597,497,"*","Promoter",1,138155491,138157450,1960,2,"383563","uc011wsy.1",0,"ENSMUSG00000052759","Gpr25","G protein-coupled receptor 25"
"chr1",145851386,145851694,309,"*","Promoter",1,145846468,145851279,4812,2,"19735","uc007cxg.2",-107,"ENSMUSG00000026360","Rgs2","regulator of G-protein signaling 2"
"chr1",155272199,155272834,636,"*","Promoter",1,155272339,155299704,27366,1,"71836","uc007czx.1",0,"ENSMUSG00000042708","Shcbp1l","Shc SH2-domain binding protein 1-like"
"chr1",158488267,158488857,591,"*","Promoter",1,158488918,158579750,90833,1,"11352","uc007dcl.2",-61,"ENSMUSG00000026596","Abl2","v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)"
"chr1",160292722,160293425,704,"*","Promoter",1,160292471,160621917,329447,1,"11899","uc007ddu.2",251,"ENSMUSG00000026587","Astn1","astrotactin 1"
"chr1",164407917,164408445,529,"*","Promoter",1,163917433,164408165,490733,2,"103967","uc007dga.2",0,"ENSMUSG00000040265","Dnm3","dynamin 3"
"chr1",169238349,169238917,569,"*","Promoter",1,169238801,169264109,25309,1,"68944","uc007dkv.1",0,"ENSMUSG00000052428","Tmco1","transmembrane and coiled-coil domains 1"
"chr1",174012506,174012948,443,"*","Promoter",1,174012660,174023691,11032,1,"12847","uc007dpl.2",0,"ENSMUSG00000026553","Copa","coatomer protein complex subunit alpha"
"chr1",187278970,187279590,621,"*","Promoter",1,187278727,187292640,13914,1,"226781","uc007dzl.1",243,"ENSMUSG00000026614","Slc30a10","solute carrier family 30, member 10"
"chr1",193149861,193150488,628,"*","Promoter",1,193149844,193176804,26961,1,"66950","uc007ech.1",17,"ENSMUSG00000026627","Pacc1","proton activated chloride channel 1"
"chr1",194596672,194597269,598,"*","Promoter",1,194336710,194597413,260704,2,"226861","uc007edp.2",144,"ENSMUSG00000037375","Hhat","hedgehog acyltransferase"
"chr1",194861635,194862110,476,"*","Promoter",1,194723501,194861892,138392,2,"329324","uc007edu.1",0,"ENSMUSG00000016200","Syt14","synaptotagmin XIV"
"chr10",5151911,5152251,341,"*","Promoter",10,5151834,5326342,174509,1,"64009","uc007egq.1",77,"ENSMUSG00000096054","Syne1","spectrin repeat containing, nuclear envelope 1"
"chr10",7382528,7383407,880,"*","Promoter",10,7350034,7383382,33349,2,"18537","uc007ehx.2",0,"ENSMUSG00000019795","Pcmt1","protein-L-isoaspartate (D-aspartate) O-methyltransferase 1"
"chr10",7400641,7401046,406,"*","Promoter",10,7401007,7436259,35253,1,"16798","uc007eig.2",0,"ENSMUSG00000040021","Lats1","large tumor suppressor"
"chr10",20671689,20672186,498,"*","Promoter",10,20672353,20685827,13475,1,"52906","uc011xbc.1",-167,"ENSMUSG00000019986","Ahi1","Abelson helper integration site 1"
"chr10",22451054,22451900,847,"*","Promoter",10,22423683,22451253,27571,2,"237336","uc007epp.2",0,"ENSMUSG00000071359","Tbpl1","TATA box binding protein-like 1"
"chr10",28863963,28864270,308,"*","Promoter",10,28863802,28919434,55633,1,"67412","uc007esu.1",161,"ENSMUSG00000038916","Soga3","SOGA family member 3"
"chr10",36693706,36694180,475,"*","Promoter",10,36694350,36715917,21568,1,"15182","uc007eve.1",-170,"ENSMUSG00000019777","Hdac2","histone deacetylase 2"
"chr10",39618453,39619255,803,"*","Promoter",10,39612566,39619044,6479,2,"213332","uc011xcw.1",0,"ENSMUSG00000096687","Mfsd4b4","major facilitator superfamily domain containing 4B4"
"chr10",39744486,39745317,832,"*","Promoter",10,39721379,39745074,23696,2,"215929","uc007ewl.2",0,"ENSMUSG00000038522","Mfsd4b1","major facilitator superfamily domain containing 4B1"
"chr10",40402949,40403578,630,"*","Promoter",10,40403088,40530889,127802,1,"327747","uc007exd.1",0,"ENSMUSG00000045555","Mettl24","methyltransferase like 24"
"chr10",60215068,60215641,574,"*","Promoter",10,60174820,60215530,40711,2,"71279","uc007ffb.1",0,"ENSMUSG00000020100","Slc29a3","solute carrier family 29 (nucleoside transporters), member 3"
"chr10",60294313,60294604,292,"*","Promoter",10,60225343,60294329,68987,2,"107449","uc007ffe.1",0,"ENSMUSG00000020099","Unc5b","unc-5 netrin receptor B"
"chr10",61573386,61573839,454,"*","Promoter",10,61570404,61573761,3358,2,"69894","uc007fgs.1",0,"ENSMUSG00000020083","Fam241b","family with sequence similarity 241, member B"
"chr10",62409487,62410090,604,"*","Promoter",10,62409777,62428866,19090,1,"327762","uc007fji.2",0,"ENSMUSG00000036875","Dna2","DNA replication helicase/nuclease 2"
"chr10",62892237,62892737,501,"*","Promoter",10,62892846,64466415,1573570,1,"216033","uc007fkh.2",-109,"ENSMUSG00000060843","Ctnna3","catenin (cadherin associated protein), alpha 3"
"chr10",67010769,67011465,697,"*","Promoter",10,67007259,67011703,4445,2,"211488","uc007flz.2",238,"ENSMUSG00000057134","Ado","2-aminoethanethiol (cysteamine) dioxygenase"
"chr10",75495297,75495960,664,"*","Promoter",10,75495357,75505714,10358,1,"64453","uc007ftw.2",0,"ENSMUSG00000049764","Zfp280b","zinc finger protein 280B"
"chr10",77069266,77069831,566,"*","Promoter",10,77069412,77081076,11665,1,"20610","uc007fvz.1",0,"ENSMUSG00000020265","Sumo3","small ubiquitin-like modifier 3"
"chr10",77364662,77365244,583,"*","Promoter",10,77360320,77365281,4962,2,"237387","uc007fwi.2",37,"ENSMUSG00000051652","Lrrc3","leucine rich repeat containing 3"
"chr10",77927334,77928054,721,"*","Promoter",10,77899492,77927693,28202,2,"216134","uc007fxu.2",0,"ENSMUSG00000032788","Pdxk","pyridoxal (pyridoxine, vitamin B6) kinase"
"chr10",78214820,78215693,874,"*","Promoter",10,78209669,78215812,6144,2,"70976","uc007fyf.2",119,"ENSMUSG00000078442","Ccdc105","coiled-coil domain containing 105"
"chr10",79131566,79132192,627,"*","Promoter",10,79132155,79138871,6717,1,"110012","uc007fzh.1",0,"ENSMUSG00000020308","Tpgs1","tubulin polyglutamylase complex subunit 1"
"chr10",79600981,79601729,749,"*","Promoter",10,79593179,79602112,8934,2,"100503659","uc007gbx.1",383,"ENSMUSG00000035640","Cbarp","calcium channel, voltage-dependent, beta subunit associated regulatory protein"
"chr10",79605035,79605373,339,"*","Promoter",10,79605060,79608556,3497,1,"66043","uc007gbz.2",0,"ENSMUSG00000003072","Atp5d","ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"
"chr10",79723366,79723714,349,"*","Promoter",10,79720896,79723713,2818,2,"14431","uc007gcj.2",0,"ENSMUSG00000020150","Gamt","guanidinoacetate methyltransferase"
"chr10",80463872,80464327,456,"*","Promoter",10,80411369,80464110,52742,2,"14708","uc007gfm.1",0,"ENSMUSG00000048240","Gng7","guanine nucleotide binding protein (G protein), gamma 7"
"chr10",80820137,80820736,600,"*","Promoter",10,80820315,80826780,6466,1,"73822","uc007gho.1",0,"ENSMUSG00000034854","Mfsd12","major facilitator superfamily domain containing 12"
"chr10",80958745,80959120,376,"*","Promoter",10,80949204,80959108,9905,2,"103425","uc007gig.1",0,"ENSMUSG00000020238","Ncln","nicalin"
"chr10",81089939,81090602,664,"*","Promoter",10,81084531,81090067,5537,2,"50721","uc007giz.2",0,"ENSMUSG00000034748","Sirt6","sirtuin 6"
"chr10",83903580,83904501,922,"*","Promoter",10,83834064,83903216,69153,2,"77976","uc007gko.1",-364,"ENSMUSG00000020032","Nuak1","NUAK family, SNF1-like kinase, 1"
"chr10",83996074,83996420,347,"*","Promoter",10,83989050,83996633,7584,2,"216197","uc007gkq.1",213,"ENSMUSG00000046841","Ckap4","cytoskeleton-associated protein 4"
"chr10",84084974,84085344,371,"*","Promoter",10,84085182,84118936,33755,1,"70428","uc007gkt.1",0,"ENSMUSG00000034453","Polr3b","polymerase (RNA) III (DNA directed) polypeptide B"
"chr10",99950171,99950612,442,"*","Promoter",10,99910818,99949981,39164,2,"237500","uc007gxu.1",-190,"ENSMUSG00000036676","Tmtc3","transmembrane and tetratricopeptide repeat containing 3"
"chr10",105278178,105278449,272,"*","Promoter",10,105200241,105278436,78196,2,"216292","uc007gyo.2",0,"ENSMUSG00000036009","Mettl25","methyltransferase like 25"
"chr10",110356914,110357301,388,"*","Promoter",10,110357232,110376570,19339,1,"13008","uc007gzs.2",0,"ENSMUSG00000020186","Csrp2","cysteine and glycine-rich protein 2"
"chr10",112365454,112366155,702,"*","Promoter",10,112362484,112366082,3599,2,"382423","uc007has.1",0,"ENSMUSG00000074748","Atxn7l3b","ataxin 7-like 3B"
"chr10",117283182,117283508,327,"*","Promoter",10,117251653,117283030,31378,2,"215449","uc007hdr.1",-152,"ENSMUSG00000052681","Rap1b","RAS related protein 1b"
"chr10",126467649,126467966,318,"*","Promoter",10,126459388,126467870,8483,2,"66399","uc007hhm.1",0,"ENSMUSG00000040521","Tsfm","Ts translation elongation factor, mitochondrial"
"chr10",127472240,127472686,447,"*","Promoter",10,127472402,127485693,13292,1,"17938","uc007hlb.2",0,"ENSMUSG00000061315","Naca","nascent polypeptide-associated complex alpha polypeptide"
"chr10",127495442,127495835,394,"*","Promoter",10,127496038,127514310,18273,1,"56351","uc007hld.1",-203,"ENSMUSG00000071072","Ptges3","prostaglandin E synthase 3"
"chr11",3548676,3549793,1118,"*","Promoter",11,3539797,3548811,9015,2,"544752","uc007htk.1",0,"ENSMUSG00000056579","Tug1","taurine upregulated gene 1"
"chr11",3794735,3795165,431,"*","Promoter",11,3786091,3795129,9039,2,"67430","uc007hts.2",0,"ENSMUSG00000020434","4921536K21Rik","RIKEN cDNA 4921536K21 gene"
"chr11",3795248,3795528,281,"*","Promoter",11,3795243,3801299,6057,1,"75219","uc007htu.2",5,"ENSMUSG00000047205","Dusp18","dual specificity phosphatase 18"
"chr11",4060235,4060689,455,"*","Promoter",11,4041127,4060296,19170,2,"216516","uc007hul.1",0,"ENSMUSG00000051427","Ccdc157","coiled-coil domain containing 157"
"chr11",16652539,16653104,566,"*","Promoter",11,16652206,16813910,161705,1,"13649","uc007ibo.1",333,"ENSMUSG00000020122","Egfr","epidermal growth factor receptor"
"chr11",16951671,16952057,387,"*","Promoter",11,16951937,16979375,27439,1,"380686","uc007iby.1",0,"ENSMUSG00000044629","Cnrip1","cannabinoid receptor interacting protein 1"
"chr11",21271230,21271771,542,"*","Promoter",11,21221145,21271204,50060,2,"216558","uc007idt.2",-26,"ENSMUSG00000001891","Ugp2","UDP-glucose pyrophosphorylase 2"
"chr11",22412227,22413100,874,"*","Promoter",11,22412286,22419234,6949,1,"103765","uc007iee.1",0,"ENSMUSG00000049904","Tmem17","transmembrane protein 17"
"chr11",30371564,30371907,344,"*","Promoter",11,30326006,30371829,45824,2,"75087","uc007ihv.1",0,"ENSMUSG00000040919","4930505A04Rik","RIKEN cDNA 4930505A04 gene"
"chr11",30785113,30785890,778,"*","Promoter",11,30785358,30793723,8366,1,"237716","uc007iib.1",0,"ENSMUSG00000043999","Gpr75","G protein-coupled receptor 75"
"chr11",31268667,31269033,367,"*","Promoter",11,31259441,31269103,9663,2,"20856","uc007iij.1",70,"ENSMUSG00000020303","Stc2","stanniocalcin 2"
"chr11",31900281,31900695,415,"*","Promoter",11,31900459,31933414,32956,1,"18197","uc007iiv.1",0,"ENSMUSG00000020297","Nsg2","neuron specific gene family member 2"
"chr11",33063365,33063715,351,"*","Promoter",11,33055328,33063056,7729,2,"18148","uc007ikf.1",-309,"ENSMUSG00000057113","Npm1","nucleophosmin 1"
"chr11",35611885,35612140,256,"*","Promoter",11,35610882,35612386,1505,2,"237730","uc007ilg.1",246,"ENSMUSG00000051062","Fbll1","fibrillarin-like 1"
"chr11",49659839,49660135,297,"*","Promoter",11,49660253,49686897,26645,1,"26420","uc007ird.2",-118,"ENSMUSG00000020366","Mapk9","mitogen-activated protein kinase 9"
"chr11",51397686,51398502,817,"*","Promoter",11,51398259,51406330,8072,1,"72947","uc007itw.1",0,"ENSMUSG00000020359","Phykpl","5-phosphohydroxy-L-lysine phospholyase"
"chr11",51781034,51781578,545,"*","Promoter",11,51781133,51790838,9706,1,"52626","uc007ius.2",0,"ENSMUSG00000020392","Cdkn2aipnl","CDKN2A interacting protein N-terminal like"
"chr11",53114175,53114669,495,"*","Promoter",11,53077749,53113981,36233,2,"15525","uc007ivr.1",-194,"ENSMUSG00000020361","Hspa4","heat shock protein 4"
"chr11",53520310,53521100,791,"*","Promoter",11,53463021,53520821,57801,2,"19360","uc007iwt.1",0,"ENSMUSG00000020380","Rad50","RAD50 double strand break repair protein"
"chr11",53704676,53705228,553,"*","Promoter",11,53678044,53705205,27162,2,"20520","uc007ixc.2",0,"ENSMUSG00000018900","Slc22a5","solute carrier family 22 (organic cation transporter), member 5"
"chr11",53841075,53842084,1010,"*","Promoter",11,53796628,53841592,44965,2,"30805","uc007ixe.1",0,"ENSMUSG00000020334","Slc22a4","solute carrier family 22 (organic cation transporter), member 4"
"chr11",54911511,54911953,443,"*","Promoter",11,54911619,54924400,12782,1,"14667","uc007iyw.1",0,"ENSMUSG00000000594","Gm2a","GM2 ganglioside activator protein"
"chr11",57821913,57822242,330,"*","Promoter",11,57822566,57875534,52969,1,"73158","uc007jah.2",-324,"ENSMUSG00000037331","Larp1","La ribonucleoprotein domain family, member 1"
"chr11",57917038,57917512,475,"*","Promoter",11,57917655,57932096,14442,1,"69125","uc007jaj.1",-143,"ENSMUSG00000020515","Cnot8","CCR4-NOT transcription complex, subunit 8"
"chr11",58120524,58121481,958,"*","Promoter",11,58120571,58128115,7545,1,"103836","uc007jaw.1",0,"ENSMUSG00000037243","Zfp692","zinc finger protein 692"
"chr11",59319267,59319840,574,"*","Promoter",11,59319187,59324569,5383,1,"74476","uc007jef.2",80,"ENSMUSG00000072893","4933439C10Rik","RIKEN cDNA 4933439C10 gene"
"chr11",59761323,59761765,443,"*","Promoter",11,59761716,59776808,15093,1,"192191","uc007jfg.1",0,"ENSMUSG00000061650","Med9","mediator complex subunit 9"
"chr11",59859819,59860191,373,"*","Promoter",11,59784119,59859987,75869,2,"18618","uc007jfj.1",0,"ENSMUSG00000000301","Pemt","phosphatidylethanolamine N-methyltransferase"
"chr11",60624383,60624800,418,"*","Promoter",11,60602399,60624767,22369,2,"20425","uc007jgo.1",0,"ENSMUSG00000020534","Shmt1","serine hydroxymethyltransferase 1 (soluble)"
"chr11",61080288,61080604,317,"*","Promoter",11,61058257,61080629,22373,2,"11671","uc007jhf.1",25,"ENSMUSG00000010025","Aldh3a2","aldehyde dehydrogenase family 3, subfamily A2"
"chr11",61307106,61307782,677,"*","Promoter",11,61302314,61307406,5093,2,"23939","uc007jho.1",0,"ENSMUSG00000001034","Mapk7","mitogen-activated protein kinase 7"
"chr11",61392238,61393149,912,"*","Promoter",11,61330751,61393153,62403,2,"13855","uc007jhv.1",4,"ENSMUSG00000001036","Epn2","epsin 2"
"chr11",62062377,62062994,618,"*","Promoter",11,62062486,62079954,17469,1,"11541","uc007jio.1",0,"ENSMUSG00000018500","Adora2b","adenosine A2b receptor"
"chr11",68504669,68505295,627,"*","Promoter",11,68505417,68559985,54569,1,"77579","uc007jnx.1",-122,"ENSMUSG00000020900","Myh10","myosin, heavy polypeptide 10, non-muscle"
"chr11",69153574,69154723,1150,"*","Promoter",11,69154271,69156149,1879,1,"80515","uc007jpv.2",0,"ENSMUSG00000043419","Rnf227","ring finger protein 227"
"chr11",70051182,70051872,691,"*","Promoter",11,70048706,70051972,3267,2,"104457","uc007jud.2",100,"ENSMUSG00000020831","0610010K14Rik","RIKEN cDNA 0610010K14 gene"
"chr11",70577489,70578313,825,"*","Promoter",11,70577949,70586431,8483,1,"193043","uc007jwo.1",0,"ENSMUSG00000043602","Zfp3","zinc finger protein 3"
"chr11",72028756,72029274,519,"*","Promoter",11,72025226,72029094,3869,2,"67279","uc007jyk.1",0,"ENSMUSG00000020801","Med31","mediator complex subunit 31"
"chr11",72224473,72225109,637,"*","Promoter",11,72203616,72225215,21600,2,"276829","uc007jyv.1",106,"ENSMUSG00000045667","Smtnl2","smoothelin-like 2"
"chr11",72990027,72990542,516,"*","Promoter",11,72989005,72990510,1506,2,"66048","uc011xyo.1",0,"ENSMUSG00000047260","Emc6","ER membrane protein complex subunit 6"
"chr11",74987220,74987520,301,"*","Promoter",11,74987184,74987249,66,1,"387150","uc011xzh.1",36,"ENSMUSG00000065537","Mir132","microRNA 132"
"chr11",75345303,75346695,1393,"*","Promoter",11,75345614,75391074,45461,1,"215113","uc007ked.2",0,"ENSMUSG00000038178","Slc43a2","solute carrier family 43, member 2"
"chr11",75545912,75546318,407,"*","Promoter",11,75546389,75579343,32955,1,"22627","uc007ket.2",-71,"ENSMUSG00000020849","Ywhae","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide"
"chr11",76030465,76031369,905,"*","Promoter",11,76031115,76032167,1053,1,"13168","uc007kfk.1",0,"ENSMUSG00000038057","Dbil5","diazepam binding inhibitor-like 5"
"chr11",76486003,76486639,637,"*","Promoter",11,76485972,76487178,1207,1,"320522","uc007kfx.1",31,"ENSMUSG00000044243","Bhlha9","basic helix-loop-helix family, member a9"
"chr11",78363918,78364892,975,"*","Promoter",11,78355319,78364237,8919,2,"69071","uc007kjv.1",0,"ENSMUSG00000037278","Tmem97","transmembrane protein 97"
"chr11",78564411,78565312,902,"*","Promoter",11,78564008,78565231,1224,2,"69109","uc007kjz.1",0,"ENSMUSG00000049489","Ccnq","cyclin Q"
"chr11",79068202,79068525,324,"*","Promoter",11,79052884,79068197,15314,2,"78889","uc007kkj.1",-5,"ENSMUSG00000017677","Wsb1","WD repeat and SOCS box-containing 1"
"chr11",79404941,79405533,593,"*","Promoter",11,79404714,79507514,102801,1,"268451","uc007kku.1",227,"ENSMUSG00000017639","Rab11fip4","RAB11 family interacting protein 4 (class II)"
"chr11",81782006,81782347,342,"*","Promoter",11,80693667,81781898,1088232,2,"11418","uc007kmm.1",-108,"ENSMUSG00000020704","Asic2","acid-sensing (proton-gated) ion channel 2"
"chr11",84632469,84633111,643,"*","Promoter",11,84626563,84633017,6455,2,"217038","uc007kqr.1",0,"ENSMUSG00000018405","Mrm1","mitochondrial rRNA methyltransferase 1"
"chr11",86621205,86621465,261,"*","Promoter",11,86582351,86621162,38812,2,"67487","uc007ktc.1",-43,"ENSMUSG00000018425","Dhx40","DEAH (Asp-Glu-Ala-His) box polypeptide 40"
"chr11",86887583,86887919,337,"*","Promoter",11,86847296,86887639,40344,2,"66569","uc007kte.2",0,"ENSMUSG00000061666","Gdpd1","glycerophosphodiester phosphodiesterase domain containing 1"
"chr11",88921309,88922105,797,"*","Promoter",11,88898896,88922345,23450,2,"56077","uc007kwd.1",240,"ENSMUSG00000000276","Dgke","diacylglycerol kinase, epsilon"
"chr11",90498895,90499399,505,"*","Promoter",11,90337807,90499422,161616,2,"20913","uc007kwu.2",23,"ENSMUSG00000020546","Stxbp4","syntaxin binding protein 4"
"chr11",93816532,93817640,1109,"*","Promoter",11,93811129,93817002,5874,2,"18103","uc007kxs.1",0,"ENSMUSG00000020857","Nme2","NME/NM23 nucleoside diphosphate kinase 2"
"chr11",97311536,97312000,465,"*","Promoter",11,97311474,97363714,52241,1,"58996","uc007lec.1",62,"ENSMUSG00000049807","Arhgap23","Rho GTPase activating protein 23"
"chr11",97643341,97643698,358,"*","Promoter",11,97642648,97643571,924,2,"65019","uc007lev.1",0,"ENSMUSG00000071415","Rpl23","ribosomal protein L23"
"chr11",97888208,97888563,356,"*","Promoter",11,97888238,97891807,3570,1,"19921","uc007lfj.2",0,"ENSMUSG00000017404","Rpl19","ribosomal protein L19"
"chr11",98843070,98843889,820,"*","Promoter",11,98843494,98844330,837,2,"353155","uc007lib.1",441,"ENSMUSG00000047197","Gjd3","gap junction protein, delta 3"
"chr11",101286339,101286950,612,"*","Promoter",11,101286399,101296979,10581,1,"217201","uc007lov.2",0,"ENSMUSG00000035007","Rundc1","RUN domain containing 1"
"chr11",101326955,101327487,533,"*","Promoter",11,101318224,101327513,9290,2,"26949","uc007loy.1",26,"ENSMUSG00000034993","Vat1","vesicle amine transport 1"
"chr11",103510869,103511481,613,"*","Promoter",11,103510823,103511894,1072,1,"104582","uc007lvn.1",46,"ENSMUSG00000046215","Rprml","reprimo-like"
"chr11",106137895,106138218,324,"*","Promoter",11,106137986,106149457,11472,1,"75870","uc007lyq.1",0,"ENSMUSG00000020712","Tcam1","testicular cell adhesion molecule 1"
